Data_Notificacao,Infectados_Dengue
01/01/2007,6
02/01/2007,10
03/01/2007,26
04/01/2007,20
05/01/2007,22
06/01/2007,4
07/01/2007,2
08/01/2007,4
09/01/2007,8
10/01/2007,14
11/01/2007,2
12/01/2007,18
13/01/2007,12
14/01/2007,6
15/01/2007,18
16/01/2007,7
17/01/2007,28
18/01/2007,8
19/01/2007,10
20/01/2007,6
21/01/2007,10
22/01/2007,29
23/01/2007,10
24/01/2007,68
25/01/2007,6
26/01/2007,34
27/01/2007,14
28/01/2007,4
29/01/2007,14
30/01/2007,14
31/01/2007,43
01/02/2007,26
02/02/2007,16
03/02/2007,8
04/02/2007,8
05/02/2007,24
06/02/2007,15
07/02/2007,28
08/02/2007,8
09/02/2007,18
10/02/2007,16
11/02/2007,14
12/02/2007,29
13/02/2007,30
14/02/2007,26
15/02/2007,17
16/02/2007,26
17/02/2007,6
18/02/2007,20
19/02/2007,14
20/02/2007,17
21/02/2007,38
22/02/2007,46
23/02/2007,30
24/02/2007,22
25/02/2007,38
26/02/2007,58
27/02/2007,54
28/02/2007,57
01/03/2007,38
02/03/2007,58
03/03/2007,36
04/03/2007,34
05/03/2007,86
06/03/2007,64
07/03/2007,125
08/03/2007,51
09/03/2007,56
10/03/2007,27
11/03/2007,42
12/03/2007,54
13/03/2007,66
14/03/2007,52
15/03/2007,79
16/03/2007,78
17/03/2007,29
18/03/2007,65
19/03/2007,54
20/03/2007,128
21/03/2007,102
22/03/2007,56
23/03/2007,101
24/03/2007,74
25/03/2007,76
26/03/2007,110
27/03/2007,66
28/03/2007,116
29/03/2007,124
30/03/2007,83
31/03/2007,28
01/04/2007,27
02/04/2007,130
03/04/2007,71
04/04/2007,111
05/04/2007,34
06/04/2007,46
07/04/2007,32
08/04/2007,30
09/04/2007,163
10/04/2007,143
11/04/2007,170
12/04/2007,149
13/04/2007,111
14/04/2007,63
15/04/2007,44
16/04/2007,166
17/04/2007,164
18/04/2007,176
19/04/2007,134
20/04/2007,144
21/04/2007,60
22/04/2007,35
23/04/2007,214
24/04/2007,190
25/04/2007,208
26/04/2007,155
27/04/2007,186
28/04/2007,69
29/04/2007,47
30/04/2007,180
01/05/2007,55
02/05/2007,181
03/05/2007,158
04/05/2007,196
05/05/2007,37
06/05/2007,40
07/05/2007,208
08/05/2007,207
09/05/2007,233
10/05/2007,113
11/05/2007,122
12/05/2007,74
13/05/2007,22
14/05/2007,163
15/05/2007,220
16/05/2007,269
17/05/2007,119
18/05/2007,169
19/05/2007,40
20/05/2007,36
21/05/2007,234
22/05/2007,126
23/05/2007,146
24/05/2007,116
25/05/2007,125
26/05/2007,38
27/05/2007,30
28/05/2007,252
29/05/2007,187
30/05/2007,198
31/05/2007,152
01/06/2007,156
02/06/2007,136
03/06/2007,30
04/06/2007,212
05/06/2007,136
06/06/2007,168
07/06/2007,75
08/06/2007,133
09/06/2007,120
10/06/2007,100
11/06/2007,242
12/06/2007,124
13/06/2007,159
14/06/2007,138
15/06/2007,212
16/06/2007,80
17/06/2007,51
18/06/2007,248
19/06/2007,141
20/06/2007,129
21/06/2007,88
22/06/2007,124
23/06/2007,68
24/06/2007,28
25/06/2007,200
26/06/2007,120
27/06/2007,186
28/06/2007,69
29/06/2007,129
30/06/2007,66
01/07/2007,20
02/07/2007,128
03/07/2007,126
04/07/2007,122
05/07/2007,111
06/07/2007,112
07/07/2007,78
08/07/2007,56
09/07/2007,136
10/07/2007,130
11/07/2007,132
12/07/2007,116
13/07/2007,128
14/07/2007,86
15/07/2007,26
16/07/2007,166
17/07/2007,118
18/07/2007,159
19/07/2007,86
20/07/2007,142
21/07/2007,26
22/07/2007,34
23/07/2007,160
24/07/2007,121
25/07/2007,128
26/07/2007,126
27/07/2007,132
28/07/2007,30
29/07/2007,28
30/07/2007,129
31/07/2007,88
01/08/2007,151
02/08/2007,78
03/08/2007,90
04/08/2007,56
05/08/2007,16
06/08/2007,105
07/08/2007,79
08/08/2007,101
09/08/2007,62
10/08/2007,55
11/08/2007,26
12/08/2007,12
13/08/2007,121
14/08/2007,53
15/08/2007,70
16/08/2007,59
17/08/2007,63
18/08/2007,37
19/08/2007,26
20/08/2007,100
21/08/2007,54
22/08/2007,59
23/08/2007,30
24/08/2007,61
25/08/2007,26
26/08/2007,12
27/08/2007,110
28/08/2007,70
29/08/2007,67
30/08/2007,16
31/08/2007,48
01/09/2007,18
02/09/2007,18
03/09/2007,58
04/09/2007,54
05/09/2007,64
06/09/2007,20
07/09/2007,20
08/09/2007,16
09/09/2007,10
10/09/2007,107
11/09/2007,39
12/09/2007,60
13/09/2007,26
14/09/2007,40
15/09/2007,33
16/09/2007,11
17/09/2007,78
18/09/2007,30
19/09/2007,57
20/09/2007,24
21/09/2007,54
22/09/2007,22
23/09/2007,10
24/09/2007,41
25/09/2007,31
26/09/2007,35
27/09/2007,25
28/09/2007,26
29/09/2007,24
30/09/2007,6
01/10/2007,42
02/10/2007,26
03/10/2007,28
04/10/2007,26
05/10/2007,18
06/10/2007,2
07/10/2007,2
08/10/2007,34
09/10/2007,36
10/10/2007,37
11/10/2007,32
12/10/2007,18
13/10/2007,12
14/10/2007,6
15/10/2007,69
16/10/2007,18
17/10/2007,51
18/10/2007,20
19/10/2007,48
20/10/2007,6
21/10/2007,6
22/10/2007,48
23/10/2007,40
24/10/2007,36
25/10/2007,29
26/10/2007,34
27/10/2007,18
28/10/2007,6
29/10/2007,41
30/10/2007,46
31/10/2007,49
01/11/2007,17
02/11/2007,6
03/11/2007,8
04/11/2007,14
05/11/2007,66
06/11/2007,43
07/11/2007,52
08/11/2007,30
09/11/2007,24
10/11/2007,20
11/11/2007,8
12/11/2007,50
13/11/2007,33
14/11/2007,48
15/11/2007,4
16/11/2007,38
17/11/2007,16
18/11/2007,12
19/11/2007,56
20/11/2007,38
21/11/2007,40
22/11/2007,33
23/11/2007,48
24/11/2007,12
25/11/2007,6
26/11/2007,50
27/11/2007,56
28/11/2007,52
29/11/2007,25
30/11/2007,46
01/12/2007,14
02/12/2007,17
03/12/2007,57
04/12/2007,32
05/12/2007,76
06/12/2007,29
07/12/2007,40
08/12/2007,6
09/12/2007,14
10/12/2007,60
11/12/2007,30
12/12/2007,58
13/12/2007,42
14/12/2007,35
15/12/2007,12
16/12/2007,9
17/12/2007,52
18/12/2007,24
19/12/2007,61
20/12/2007,39
21/12/2007,32
22/12/2007,6
23/12/2007,8
24/12/2007,16
25/12/2007,2
26/12/2007,90
27/12/2007,45
28/12/2007,24
29/12/2007,20
30/12/2007,8
31/12/2007,12
01/01/2008,14
02/01/2008,92
03/01/2008,34
04/01/2008,40
05/01/2008,8
06/01/2008,18
07/01/2008,62
08/01/2008,46
09/01/2008,77
10/01/2008,43
11/01/2008,48
12/01/2008,16
13/01/2008,10
14/01/2008,41
15/01/2008,55
16/01/2008,92
17/01/2008,42
18/01/2008,42
19/01/2008,30
20/01/2008,24
21/01/2008,88
22/01/2008,76
23/01/2008,98
24/01/2008,46
25/01/2008,62
26/01/2008,36
27/01/2008,21
28/01/2008,120
29/01/2008,60
30/01/2008,110
31/01/2008,119
01/02/2008,128
02/02/2008,50
03/02/2008,36
04/02/2008,49
05/02/2008,37
06/02/2008,94
07/02/2008,140
08/02/2008,173
09/02/2008,63
10/02/2008,54
11/02/2008,179
12/02/2008,89
13/02/2008,125
14/02/2008,66
15/02/2008,108
16/02/2008,48
17/02/2008,57
18/02/2008,191
19/02/2008,150
20/02/2008,134
21/02/2008,94
22/02/2008,109
23/02/2008,85
24/02/2008,50
25/02/2008,190
26/02/2008,160
27/02/2008,155
28/02/2008,173
29/02/2008,121
01/03/2008,42
02/03/2008,30
03/03/2008,221
04/03/2008,184
05/03/2008,182
06/03/2008,102
07/03/2008,129
08/03/2008,60
09/03/2008,66
10/03/2008,238
11/03/2008,163
12/03/2008,193
13/03/2008,176
14/03/2008,232
15/03/2008,69
16/03/2008,60
17/03/2008,252
18/03/2008,228
19/03/2008,137
20/03/2008,109
21/03/2008,109
22/03/2008,102
23/03/2008,74
24/03/2008,385
25/03/2008,328
26/03/2008,336
27/03/2008,267
28/03/2008,355
29/03/2008,303
30/03/2008,316
31/03/2008,514
01/04/2008,611
02/04/2008,414
03/04/2008,491
04/04/2008,577
05/04/2008,426
06/04/2008,385
07/04/2008,652
08/04/2008,700
09/04/2008,875
10/04/2008,859
11/04/2008,632
12/04/2008,411
13/04/2008,409
14/04/2008,890
15/04/2008,892
16/04/2008,934
17/04/2008,974
18/04/2008,888
19/04/2008,708
20/04/2008,483
21/04/2008,571
22/04/2008,1249
23/04/2008,1057
24/04/2008,1144
25/04/2008,1155
26/04/2008,574
27/04/2008,489
28/04/2008,1042
29/04/2008,938
30/04/2008,947
01/05/2008,630
02/05/2008,969
03/05/2008,586
04/05/2008,513
05/05/2008,1050
06/05/2008,880
07/05/2008,892
08/05/2008,799
09/05/2008,821
10/05/2008,660
11/05/2008,385
12/05/2008,836
13/05/2008,800
14/05/2008,798
15/05/2008,857
16/05/2008,715
17/05/2008,554
18/05/2008,598
19/05/2008,980
20/05/2008,1142
21/05/2008,814
22/05/2008,633
23/05/2008,767
24/05/2008,718
25/05/2008,467
26/05/2008,957
27/05/2008,725
28/05/2008,750
29/05/2008,737
30/05/2008,775
31/05/2008,415
01/06/2008,380
02/06/2008,602
03/06/2008,576
04/06/2008,540
05/06/2008,450
06/06/2008,391
07/06/2008,445
08/06/2008,231
09/06/2008,437
10/06/2008,478
11/06/2008,367
12/06/2008,308
13/06/2008,261
14/06/2008,240
15/06/2008,264
16/06/2008,403
17/06/2008,330
18/06/2008,290
19/06/2008,345
20/06/2008,248
21/06/2008,217
22/06/2008,130
23/06/2008,305
24/06/2008,232
25/06/2008,211
26/06/2008,171
27/06/2008,169
28/06/2008,105
29/06/2008,75
30/06/2008,141
01/07/2008,139
02/07/2008,120
03/07/2008,105
04/07/2008,74
05/07/2008,52
06/07/2008,43
07/07/2008,90
08/07/2008,57
09/07/2008,52
10/07/2008,63
11/07/2008,75
12/07/2008,61
13/07/2008,40
14/07/2008,66
15/07/2008,34
16/07/2008,38
17/07/2008,55
18/07/2008,68
19/07/2008,62
20/07/2008,32
21/07/2008,32
22/07/2008,138
23/07/2008,45
24/07/2008,47
25/07/2008,46
26/07/2008,34
27/07/2008,8
28/07/2008,36
29/07/2008,41
30/07/2008,30
31/07/2008,43
01/08/2008,55
02/08/2008,30
03/08/2008,33
04/08/2008,36
05/08/2008,81
06/08/2008,36
07/08/2008,26
08/08/2008,26
09/08/2008,22
