Data_Notificacao,Infectados_Dengue,Semana,Ano
01/01/2007,6,1,2007
02/01/2007,10,1,2007
03/01/2007,26,1,2007
04/01/2007,20,1,2007
05/01/2007,22,1,2007
06/01/2007,4,1,2007
07/01/2007,2,2,2007
08/01/2007,4,2,2007
09/01/2007,8,2,2007
10/01/2007,14,2,2007
11/01/2007,2,2,2007
12/01/2007,18,2,2007
13/01/2007,12,2,2007
14/01/2007,6,3,2007
15/01/2007,18,3,2007
16/01/2007,7,3,2007
17/01/2007,28,3,2007
18/01/2007,8,3,2007
19/01/2007,10,3,2007
20/01/2007,6,3,2007
21/01/2007,10,4,2007
22/01/2007,29,4,2007
23/01/2007,10,4,2007
24/01/2007,68,4,2007
25/01/2007,6,4,2007
26/01/2007,34,4,2007
27/01/2007,14,4,2007
28/01/2007,4,5,2007
29/01/2007,14,5,2007
30/01/2007,14,5,2007
31/01/2007,43,5,2007
01/02/2007,26,5,2007
02/02/2007,16,5,2007
03/02/2007,8,5,2007
04/02/2007,8,6,2007
05/02/2007,24,6,2007
06/02/2007,15,6,2007
07/02/2007,28,6,2007
08/02/2007,8,6,2007
09/02/2007,18,6,2007
10/02/2007,16,6,2007
11/02/2007,14,7,2007
12/02/2007,29,7,2007
13/02/2007,30,7,2007
14/02/2007,26,7,2007
15/02/2007,17,7,2007
16/02/2007,26,7,2007
17/02/2007,6,7,2007
18/02/2007,20,8,2007
19/02/2007,14,8,2007
20/02/2007,17,8,2007
21/02/2007,38,8,2007
22/02/2007,46,8,2007
23/02/2007,30,8,2007
24/02/2007,22,8,2007
25/02/2007,38,9,2007
26/02/2007,58,9,2007
27/02/2007,54,9,2007
28/02/2007,57,9,2007
01/03/2007,38,9,2007
02/03/2007,58,9,2007
03/03/2007,36,9,2007
04/03/2007,34,10,2007
05/03/2007,86,10,2007
06/03/2007,64,10,2007
07/03/2007,125,10,2007
08/03/2007,51,10,2007
09/03/2007,56,10,2007
10/03/2007,27,10,2007
11/03/2007,42,11,2007
12/03/2007,54,11,2007
13/03/2007,66,11,2007
14/03/2007,52,11,2007
15/03/2007,79,11,2007
16/03/2007,78,11,2007
17/03/2007,29,11,2007
18/03/2007,65,12,2007
19/03/2007,54,12,2007
20/03/2007,128,12,2007
21/03/2007,102,12,2007
22/03/2007,56,12,2007
23/03/2007,101,12,2007
24/03/2007,74,12,2007
25/03/2007,76,13,2007
26/03/2007,110,13,2007
27/03/2007,66,13,2007
28/03/2007,116,13,2007
29/03/2007,124,13,2007
30/03/2007,83,13,2007
31/03/2007,28,13,2007
01/04/2007,27,14,2007
02/04/2007,130,14,2007
03/04/2007,71,14,2007
04/04/2007,111,14,2007
05/04/2007,34,14,2007
06/04/2007,46,14,2007
07/04/2007,32,14,2007
08/04/2007,30,15,2007
09/04/2007,163,15,2007
10/04/2007,143,15,2007
11/04/2007,170,15,2007
12/04/2007,149,15,2007
13/04/2007,111,15,2007
14/04/2007,63,15,2007
15/04/2007,44,16,2007
16/04/2007,166,16,2007
17/04/2007,164,16,2007
18/04/2007,176,16,2007
19/04/2007,134,16,2007
20/04/2007,144,16,2007
21/04/2007,60,16,2007
22/04/2007,35,17,2007
23/04/2007,214,17,2007
24/04/2007,190,17,2007
25/04/2007,208,17,2007
