Semana,Ano,Data_Notificacao,Infectados_Dengue,Infectados_7
1,2007,01/01/2007,6,0
1,2007,02/01/2007,10,6
1,2007,03/01/2007,26,16
1,2007,04/01/2007,20,42
1,2007,05/01/2007,22,62
1,2007,06/01/2007,4,84
2,2007,07/01/2007,2,88
2,2007,08/01/2007,4,90
2,2007,09/01/2007,8,88
2,2007,10/01/2007,14,86
2,2007,11/01/2007,2,74
2,2007,12/01/2007,18,56
2,2007,13/01/2007,12,52
3,2007,14/01/2007,6,60
3,2007,15/01/2007,18,64
3,2007,16/01/2007,7,78
3,2007,17/01/2007,28,77
3,2007,18/01/2007,8,91
3,2007,19/01/2007,10,97
3,2007,20/01/2007,6,89
4,2007,21/01/2007,10,83
4,2007,22/01/2007,29,87
4,2007,23/01/2007,10,98
4,2007,24/01/2007,68,101
4,2007,25/01/2007,6,141
4,2007,26/01/2007,34,139
4,2007,27/01/2007,14,163
5,2007,28/01/2007,4,171
5,2007,29/01/2007,14,165
5,2007,30/01/2007,14,150
5,2007,31/01/2007,43,154
5,2007,01/02/2007,26,129
5,2007,02/02/2007,16,149
5,2007,03/02/2007,8,131
6,2007,04/02/2007,8,125
6,2007,05/02/2007,24,129
6,2007,06/02/2007,15,139
6,2007,07/02/2007,28,140
6,2007,08/02/2007,8,125
6,2007,09/02/2007,18,107
6,2007,10/02/2007,16,109
7,2007,11/02/2007,14,117
7,2007,12/02/2007,29,123
7,2007,13/02/2007,30,128
7,2007,14/02/2007,26,143
7,2007,15/02/2007,17,141
7,2007,16/02/2007,26,150
7,2007,17/02/2007,6,158
8,2007,18/02/2007,20,148
8,2007,19/02/2007,14,154
8,2007,20/02/2007,17,139
8,2007,21/02/2007,38,126
8,2007,22/02/2007,46,138
8,2007,23/02/2007,30,167
8,2007,24/02/2007,22,171
9,2007,25/02/2007,38,187
9,2007,26/02/2007,58,205
9,2007,27/02/2007,54,249
9,2007,28/02/2007,57,286
9,2007,01/03/2007,38,305
9,2007,02/03/2007,58,297
9,2007,03/03/2007,36,325
10,2007,04/03/2007,34,339
10,2007,05/03/2007,86,335
10,2007,06/03/2007,64,363
10,2007,07/03/2007,125,373
10,2007,08/03/2007,51,441
10,2007,09/03/2007,56,454
10,2007,10/03/2007,27,452
11,2007,11/03/2007,42,443
11,2007,12/03/2007,54,451
11,2007,13/03/2007,66,419
11,2007,14/03/2007,52,421
11,2007,15/03/2007,79,348
11,2007,16/03/2007,78,376
11,2007,17/03/2007,29,398
12,2007,18/03/2007,65,400
12,2007,19/03/2007,54,423
12,2007,20/03/2007,128,423
12,2007,21/03/2007,102,485
12,2007,22/03/2007,56,535
12,2007,23/03/2007,101,512
12,2007,24/03/2007,74,535
13,2007,25/03/2007,76,580
13,2007,26/03/2007,110,591
13,2007,27/03/2007,66,647
13,2007,28/03/2007,116,585
13,2007,29/03/2007,124,599
13,2007,30/03/2007,83,667
13,2007,31/03/2007,28,649
14,2007,01/04/2007,27,603
14,2007,02/04/2007,130,554
14,2007,03/04/2007,71,574
14,2007,04/04/2007,111,579
14,2007,05/04/2007,34,574
14,2007,06/04/2007,46,484
14,2007,07/04/2007,32,447
15,2007,08/04/2007,30,451
15,2007,09/04/2007,163,454
15,2007,10/04/2007,143,487
15,2007,11/04/2007,170,559
15,2007,12/04/2007,149,618
15,2007,13/04/2007,111,733
15,2007,14/04/2007,63,798
16,2007,15/04/2007,44,829
16,2007,16/04/2007,166,843
16,2007,17/04/2007,164,846
16,2007,18/04/2007,176,867
16,2007,19/04/2007,134,873
16,2007,20/04/2007,144,858
16,2007,21/04/2007,60,891
17,2007,22/04/2007,35,888
17,2007,23/04/2007,214,879
17,2007,24/04/2007,190,927
17,2007,25/04/2007,208,953
17,2007,26/04/2007,155,985
17,2007,27/04/2007,186,1006
17,2007,28/04/2007,69,1048
18,2007,29/04/2007,47,1057
18,2007,30/04/2007,180,1069
18,2007,01/05/2007,55,1035
18,2007,02/05/2007,181,900
18,2007,03/05/2007,158,873
18,2007,04/05/2007,196,876
18,2007,05/05/2007,37,886
19,2007,06/05/2007,40,854
19,2007,07/05/2007,208,847
19,2007,08/05/2007,207,875
19,2007,09/05/2007,233,1027
19,2007,10/05/2007,113,1079
19,2007,11/05/2007,122,1034
19,2007,12/05/2007,74,960
20,2007,13/05/2007,22,997
20,2007,14/05/2007,163,979
20,2007,15/05/2007,220,934
20,2007,16/05/2007,269,947
20,2007,17/05/2007,119,983
20,2007,18/05/2007,169,989
20,2007,19/05/2007,40,1036
21,2007,20/05/2007,36,1002
21,2007,21/05/2007,234,1016
21,2007,22/05/2007,126,1087
21,2007,23/05/2007,146,993
21,2007,24/05/2007,116,870
21,2007,25/05/2007,125,867
21,2007,26/05/2007,38,823
22,2007,27/05/2007,30,821
22,2007,28/05/2007,252,815
22,2007,29/05/2007,187,833
22,2007,30/05/2007,198,894
22,2007,31/05/2007,152,946
22,2007,01/06/2007,156,982
22,2007,02/06/2007,136,1013
23,2007,03/06/2007,30,1111
23,2007,04/06/2007,212,1111
23,2007,05/06/2007,136,1071
23,2007,06/06/2007,168,1020
23,2007,07/06/2007,75,990
23,2007,08/06/2007,133,913
23,2007,09/06/2007,120,890
24,2007,10/06/2007,100,874
24,2007,11/06/2007,242,944
24,2007,12/06/2007,124,974
24,2007,13/06/2007,159,962
24,2007,14/06/2007,138,953
24,2007,15/06/2007,212,1016
24,2007,16/06/2007,80,1095
25,2007,17/06/2007,51,1055
25,2007,18/06/2007,248,1006
25,2007,19/06/2007,141,1012
25,2007,20/06/2007,129,1029
25,2007,21/06/2007,88,999
25,2007,22/06/2007,124,949
25,2007,23/06/2007,68,861
26,2007,24/06/2007,28,849
26,2007,25/06/2007,200,826
26,2007,26/06/2007,120,778
26,2007,27/06/2007,186,757
26,2007,28/06/2007,69,814
26,2007,29/06/2007,129,795
26,2007,30/06/2007,66,800
27,2007,01/07/2007,20,798
27,2007,02/07/2007,128,790
27,2007,03/07/2007,126,718
27,2007,04/07/2007,122,724
27,2007,05/07/2007,111,660
27,2007,06/07/2007,112,702
27,2007,07/07/2007,78,685
28,2007,08/07/2007,56,697
28,2007,09/07/2007,136,733
28,2007,10/07/2007,130,741
28,2007,11/07/2007,132,745
28,2007,12/07/2007,116,755
28,2007,13/07/2007,128,760
28,2007,14/07/2007,86,776
29,2007,15/07/2007,26,784
29,2007,16/07/2007,166,754
29,2007,17/07/2007,118,784
29,2007,18/07/2007,159,772
29,2007,19/07/2007,86,799
29,2007,20/07/2007,142,769
29,2007,21/07/2007,26,783
30,2007,22/07/2007,34,723
30,2007,23/07/2007,160,731
30,2007,24/07/2007,121,725
30,2007,25/07/2007,128,728
30,2007,26/07/2007,126,697
30,2007,27/07/2007,132,737
30,2007,28/07/2007,30,727
31,2007,29/07/2007,28,731
31,2007,30/07/2007,129,725
31,2007,31/07/2007,88,694
31,2007,01/08/2007,151,661
31,2007,02/08/2007,78,684
31,2007,03/08/2007,90,636
31,2007,04/08/2007,56,594
32,2007,05/08/2007,16,620
32,2007,06/08/2007,105,608
32,2007,07/08/2007,79,584
32,2007,08/08/2007,101,575
32,2007,09/08/2007,62,525
32,2007,10/08/2007,55,509
32,2007,11/08/2007,26,474
33,2007,12/08/2007,12,444
33,2007,13/08/2007,121,440
33,2007,14/08/2007,53,456
33,2007,15/08/2007,70,430
33,2007,16/08/2007,59,399
33,2007,17/08/2007,63,396
33,2007,18/08/2007,37,404
34,2007,19/08/2007,26,415
34,2007,20/08/2007,100,429
34,2007,21/08/2007,54,408
34,2007,22/08/2007,59,409
34,2007,23/08/2007,30,398
34,2007,24/08/2007,61,369
