Data_Notificacao,Infectados_7d
1/1/2007,0
2/1/2007,0
3/1/2007,0
4/1/2007,0
5/1/2007,0
6/1/2007,0
7/1/2007,0
8/1/2007,0
9/1/2007,0
10/1/2007,0
11/1/2007,4
12/1/2007,4
13/01/2007,4
14/01/2007,6
15/01/2007,6
16/01/2007,8
17/01/2007,8
18/01/2007,4
19/01/2007,4
20/01/2007,6
21/01/2007,4
22/01/2007,4
23/01/2007,6
24/01/2007,6
25/01/2007,6
26/01/2007,6
27/01/2007,4
28/01/2007,4
29/01/2007,4
30/01/2007,0
31/01/2007,2
1/2/2007,2
2/2/2007,2
3/2/2007,2
4/2/2007,2
5/2/2007,2
6/2/2007,8
7/2/2007,6
8/2/2007,8
9/2/2007,8
10/2/2007,8
11/2/2007,8
12/2/2007,8
13/02/2007,2
14/02/2007,4
15/02/2007,2
16/02/2007,2
17/02/2007,4
18/02/2007,4
19/02/2007,4
20/02/2007,4
21/02/2007,2
22/02/2007,4
23/02/2007,6
24/02/2007,8
25/02/2007,8
26/02/2007,8
27/02/2007,10
28/02/2007,10
1/3/2007,8
2/3/2007,6
3/3/2007,4
4/3/2007,4
5/3/2007,4
6/3/2007,2
7/3/2007,2
8/3/2007,4
9/3/2007,4
10/3/2007,2
11/3/2007,2
12/3/2007,4
13/03/2007,8
14/03/2007,8
15/03/2007,8
16/03/2007,10
17/03/2007,10
18/03/2007,10
19/03/2007,8
20/03/2007,4
21/03/2007,10
22/03/2007,8
23/03/2007,6
24/03/2007,10
25/03/2007,12
26/03/2007,12
27/03/2007,18
28/03/2007,18
29/03/2007,24
30/03/2007,24
31/03/2007,22
1/4/2007,20
2/4/2007,20
3/4/2007,22
4/4/2007,18
5/4/2007,22
6/4/2007,26
7/4/2007,30
8/4/2007,30
9/4/2007,35
10/4/2007,41
11/4/2007,47
12/4/2007,47
13/04/2007,55
14/04/2007,55
15/04/2007,55
16/04/2007,52
17/04/2007,75
18/04/2007,95
19/04/2007,111
20/04/2007,109
21/04/2007,129
22/04/2007,137
23/04/2007,135
24/04/2007,127
25/04/2007,119
26/04/2007,117
27/04/2007,135
28/04/2007,127
29/04/2007,127
30/04/2007,135
1/5/2007,128
2/5/2007,112
3/5/2007,126
4/5/2007,114
5/5/2007,118
6/5/2007,122
7/5/2007,114
8/5/2007,114
9/5/2007,136
10/5/2007,122
11/5/2007,126
12/5/2007,130
13/05/2007,124
14/05/2007,124
15/05/2007,145
16/05/2007,165
17/05/2007,190
18/05/2007,222
19/05/2007,247
20/05/2007,260
21/05/2007,271
22/05/2007,312
23/05/2007,321
24/05/2007,337
25/05/2007,364
26/05/2007,404
27/05/2007,421
28/05/2007,432
29/05/2007,492
30/05/2007,528
31/05/2007,537
1/6/2007,548
2/6/2007,545
3/6/2007,551
4/6/2007,553
5/6/2007,505
6/6/2007,492
7/6/2007,515
8/6/2007,473
9/6/2007,494
10/6/2007,496
11/6/2007,505
12/6/2007,538
13/06/2007,587
14/06/2007,568
15/06/2007,602
16/06/2007,573
17/06/2007,572
18/06/2007,587
19/06/2007,563
20/06/2007,559
21/06/2007,590
22/06/2007,628
23/06/2007,625
24/06/2007,626
25/06/2007,594
26/06/2007,601
27/06/2007,553
28/06/2007,505
29/06/2007,437
30/06/2007,416
1/7/2007,378
2/7/2007,392
3/7/2007,315
4/7/2007,274
5/7/2007,224
6/7/2007,183
7/7/2007,170
8/7/2007,167
9/7/2007,142
10/7/2007,126
11/7/2007,112
12/7/2007,124
13/07/2007,121
14/07/2007,91
15/07/2007,94
16/07/2007,91
17/07/2007,83
18/07/2007,73
19/07/2007,54
20/07/2007,54
21/07/2007,49
22/07/2007,47
23/07/2007,47
24/07/2007,50
25/07/2007,52
26/07/2007,52
27/07/2007,46
28/07/2007,46
29/07/2007,44
30/07/2007,42
31/07/2007,30
1/8/2007,34
2/8/2007,38
3/8/2007,38
4/8/2007,34
5/8/2007,34
6/8/2007,34
7/8/2007,38
8/8/2007,30
9/8/2007,22
10/8/2007,24
11/8/2007,24
12/8/2007,32
13/08/2007,32
14/08/2007,34
15/08/2007,40
16/08/2007,56
17/08/2007,52
18/08/2007,56
19/08/2007,48
20/08/2007,48
21/08/2007,45
22/08/2007,35
23/08/2007,21
24/08/2007,23
25/08/2007,21
26/08/2007,21
27/08/2007,21
28/08/2007,16
29/08/2007,12
30/08/2007,10
31/08/2007,12
1/9/2007,6
2/9/2007,4
3/9/2007,4
4/9/2007,4
5/9/2007,4
6/9/2007,4
7/9/2007,0
8/9/2007,0
9/9/2007,0
10/9/2007,0
11/9/2007,0
12/9/2007,2
13/09/2007,2
14/09/2007,2
15/09/2007,6
16/09/2007,6
17/09/2007,8
18/09/2007,8
19/09/2007,8
20/09/2007,8
21/09/2007,8
22/09/2007,4
23/09/2007,4
24/09/2007,2
25/09/2007,2
26/09/2007,0
27/09/2007,0
28/09/2007,0
29/09/2007,0
30/09/2007,0
1/10/2007,0
2/10/2007,0
3/10/2007,0
4/10/2007,0
5/10/2007,0
6/10/2007,0
7/10/2007,0
8/10/2007,0
9/10/2007,0
10/10/2007,2
11/10/2007,2
12/10/2007,2
13/10/2007,2
14/10/2007,2
15/10/2007,2
16/10/2007,2
17/10/2007,0
18/10/2007,0
19/10/2007,0
20/10/2007,0
21/10/2007,0
22/10/2007,0
23/10/2007,0
24/10/2007,0
25/10/2007,0
26/10/2007,0
27/10/2007,0
28/10/2007,0
29/10/2007,0
30/10/2007,0
31/10/2007,0
1/11/2007,1
2/11/2007,3
3/11/2007,3
4/11/2007,5
5/11/2007,5
6/11/2007,5
7/11/2007,7
8/11/2007,7
9/11/2007,5
10/11/2007,5
11/11/2007,5
12/11/2007,5
13/11/2007,5
14/11/2007,3
15/11/2007,2
16/11/2007,2
17/11/2007,2
18/11/2007,0
19/11/2007,0
20/11/2007,0
21/11/2007,2
22/11/2007,3
23/11/2007,3
24/11/2007,3
25/11/2007,3
26/11/2007,3
27/11/2007,3
28/11/2007,1
29/11/2007,0
30/11/2007,2
1/12/2007,2
2/12/2007,2
3/12/2007,2
4/12/2007,2
5/12/2007,2
6/12/2007,2
7/12/2007,0
8/12/2007,0
9/12/2007,0
10/12/2007,0
11/12/2007,2
12/12/2007,2
13/12/2007,2
14/12/2007,2
15/12/2007,4
16/12/2007,4
17/12/2007,4
18/12/2007,2
19/12/2007,2
20/12/2007,2
21/12/2007,2
22/12/2007,0
23/12/2007,0
24/12/2007,0
25/12/2007,0
26/12/2007,0
27/12/2007,0
28/12/2007,2
29/12/2007,2
30/12/2007,2
31/12/2007,2
1/1/2008,2
2/1/2008,2
3/1/2008,2
4/1/2008,0
5/1/2008,0
6/1/2008,0
7/1/2008,0
8/1/2008,0
9/1/2008,0
10/1/2008,0
11/1/2008,0
12/1/2008,0
13/01/2008,0
14/01/2008,0
15/01/2008,0
