Data_Notificacao,Precipitacao_7,Evaporacao_7,Umidade_7d,TemCompMedia_7d,Insolacao_7,Vel_vento_7
1/1/2007,0,0,0,0,0,0
2/1/2007,"9,8",4,73,"27,68","7,3","2,367027"
3/1/2007,"17,8","7,8","143,75","55,6","14,3","4,867027"
4/1/2007,"18,5","13,5","212,75","83,34","19,8","7,30036"
5/1/2007,"20,4","19,5","276,25","111,62","28,2","9,30036"
6/1/2007,"20,4","27,3","335,5","139,62","37,3","11,80036"
7/1/2007,"20,4","34,6","387,5","168,76","48,2","14,80036"
8/1/2007,"20,4","42,8","377,5","169,84",56,"15,633693"
9/1/2007,"10,7","45,6","358,5","171,32",57,"15,533333"
10/1/2007,"2,7","49,4","361,5","171,62","55,2","14,7"
11/1/2007,2,49,"348,25","172,54","59,7","14,266667"
12/1/2007,"0,1","50,7","345,75","173,4",59,"13,933334"
13/01/2007,"5,3","49,1",356,"172,42","53,1","13,600001"
14/01/2007,"5,3","47,3",350,"171,74","51,1","11,266668"
15/01/2007,"5,3","47,2","349,25","171,5",51,"13,366668"
16/01/2007,"5,2","49,2","332,75","172,82","44,9","12,933334"
17/01/2007,"5,2","48,4","335,75","173,04","47,8","13,933334"
18/01/2007,"5,2","51,5","325,75","174,48","47,7","14,700001"
19/01/2007,"5,7","52,6","312,25","176,14","49,3","16,033334"
20/01/2007,"0,5","56,6","311,25","176,66","55,3","16,866667"
21/01/2007,"0,5","60,9","313,75","177,06","54,8","17,366667"
22/01/2007,"0,5","62,6","309,25","177,48","57,7","15,933334"
23/01/2007,"0,5","64,4","312,5","176,88",66,"16,600001"
24/01/2007,"0,5","66,1","326,25","175,38","65,6","16,600001"
25/01/2007,"0,5",66,"333,25","174,52","63,7","17,100001"
26/01/2007,0,"65,2","351,25","174,22","63,7","15,114441"
27/01/2007,0,"64,5","350,25","173,98","64,7","14,947774"
28/01/2007,0,66,"345,5","173,84","66,8","16,01444"
29/01/2007,0,"65,3","343,75","174,56","65,8","18,281107"
30/01/2007,0,"63,9","343,75","174,94",63,"20,281107"
31/01/2007,0,"64,7","345,75","175,8","61,5","18,11444"
1/2/2007,0,"64,5","339,5","176,02","54,1","16,847773"
2/2/2007,0,"62,8","351,25","176,12","51,5","19,666666"
3/2/2007,"2,4","60,9","389,25","173,38","47,3","19,1"
4/2/2007,"2,7","54,1","415,75","170,86","41,9","19,366667"
5/2/2007,"32,1","47,7","444,75","167,58","35,4","16,833333"
6/2/2007,"45,1","40,8","476,25","163,76","30,1","13,333333"
7/2/2007,"57,4","32,7",482,"163,02","30,7","14,666666"
8/2/2007,"57,7","29,8","485,5","161,14","35,3","14,999999"
9/2/2007,"59,4","27,7","472,75","161,98","32,7","13,333333"
10/2/2007,57,"24,1","470,5","162,76","31,3","13,066666"
11/2/2007,"58,1","23,6","445,25","165,16","34,5","11,899999"
12/2/2007,"28,7","27,3","419,75",167,37,"14,933333"
13/02/2007,"15,7","30,8","428,5","165,82","40,3","15,466666"
14/02/2007,"6,2","32,4","454,25","164,34","36,8","14,466666"
15/02/2007,"11,9","28,6","476,5","161,5","34,1","12,633333"
16/02/2007,"45,6",25,"489,25","158,62","32,9","10,733333"
17/02/2007,"51,2","22,3","517,5","156,16","33,7","9,233333"
18/02/2007,"75,3","19,5",549,"153,2","27,5","9,066667"
19/02/2007,"109,4","13,8","551,5","151,86","25,5","5,466667"
20/02/2007,"117,5","10,7",548,"150,48","23,7","4,766667"
21/02/2007,"129,7","9,4","539,25","150,64","24,1","4,366667"
22/02/2007,"123,7","10,5","525,5",152,"29,4","4,2"
23/02/2007,"88,3","12,9","518,75","153,02",33,"4,533333"
24/02/2007,"108,6","13,8",517,"151,52","27,6","4,433333"
25/02/2007,"84,2","12,7","520,25","151,72","32,8","3,699999"
26/02/2007,"54,7",14,"511,25",153,"38,5","4,199999"
27/02/2007,"58,6","13,5",510,"154,56","41,1","4,799999"
28/02/2007,"46,2","14,2","510,75","154,76",47,"5,199999"
1/3/2007,"46,2","15,5","506,75","154,1","46,2","5,866666"
2/3/2007,49,"14,7",504,"156,38","46,7","6,766666"
3/3/2007,"25,4","14,2","501,75","156,84",53,"6,966666"
4/3/2007,"24,3","17,1",505,"156,96","50,7","8,033333"
5/3/2007,"19,7","17,4","499,25","157,08","50,4","7,299999"
6/3/2007,"7,7","18,7",495,"157,22","51,7","7,033333"
7/3/2007,"5,1","19,6",502,"157,2","48,2","6,7"
8/3/2007,8,18,"498,25","157,12","44,4","9,966667"
9/3/2007,"21,9","17,5","497,75","157,48",44,"9,3"
10/3/2007,"19,6","18,7","499,5","157,78","45,3","9,366667"
11/3/2007,"22,4","18,1","505,75","157,38","44,4","8,533334"
12/3/2007,"27,3","17,7","517,75","155,84","41,2","9,100001"
13/03/2007,"53,7","15,5","511,75","155,38","34,7","8,600001"
14/03/2007,"56,3","14,3","512,5","154,82","30,7","8,100001"
15/03/2007,"53,4","13,6","506,25","154,46","35,9","5,066667"
16/03/2007,"36,9",15,"505,75","154,4","36,6","4,766667"
17/03/2007,"40,7","14,9","503,25","154,22","36,7","4,933333"
18/03/2007,"39,1","14,6","509,75","154,26","35,5","6,099999"
19/03/2007,"34,4","13,7","521,5","153,44",33,"5,166666"
20/03/2007,"18,9","13,6",523,"154,3","39,3","5,999999"
21/03/2007,"17,7","13,1","525,75","154,58",40,"6,899999"
22/03/2007,"17,7","13,7","526,25","153,58","39,3","6,899999"
23/03/2007,"81,6","12,5","530,5","153,84","40,6","7,533333"
24/03/2007,"78,4","12,1","529,5","154,64","37,5","7,7"
25/03/2007,"88,2",11,518,"156,32","40,7","6,366667"
26/03/2007,88,"12,6","503,25","157,4","47,1","8,166667"
27/03/2007,"77,1","14,5","489,25","158,14","46,9","7,333334"
28/03/2007,"75,7","16,2",480,"159,48","51,5","7,100001"
29/03/2007,"75,7","16,7",475,"158,86","47,6","6,866668"
30/03/2007,30,"16,6","460,5","159,88","46,1","6,533334"
31/03/2007,"29,4","17,3","455,25",160,"51,6","7,466667"
1/4/2007,"18,4","19,6","460,75","159,64","52,6","8,966667"
2/4/2007,19,"19,1","476,75","159,16","50,1","7,7"
3/4/2007,27,"18,4","469,75","159,94",52,"9,033333"
4/4/2007,27,"18,9",468,"160,88","51,9","9,799999"
5/4/2007,27,"19,2",468,"160,62",54,"10,133332"
6/4/2007,"8,6","19,5","472,75","159,82","54,5","9,966666"
7/4/2007,"34,8","18,2","476,25","159,46","51,9","9,533333"
8/4/2007,36,"17,3",472,"160,32","53,7","7,766666"
9/4/2007,"35,4",18,"482,25","159,92","56,2","8,833333"
10/4/2007,"27,4","18,5","494,75","160,12","54,1","9,433333"
11/4/2007,"47,2","16,6",509,"158,88","47,6","9,166667"
12/4/2007,"58,1","14,5","506,25","159,4","45,5","10,100001"
13/04/2007,"58,1","14,8","497,25","160,32","45,2","11,266667"
14/04/2007,"31,9",16,498,"159,64","45,1","10,833334"
15/04/2007,"36,3","15,6","490,75","159,56","43,5","12,600001"
16/04/2007,"36,3","16,6","481,5","159,32","40,1","11,433334"
17/04/2007,"48,7","16,1","482,5","159,88",36,"9,066667"
18/04/2007,"33,7","15,3","497,5","159,2","37,3","8,066667"
19/04/2007,"79,4","14,8","516,75","156,24","33,5","6,133333"
20/04/2007,"82,4","12,5","521,5","155,74","33,6","4,433333"
21/04/2007,"86,2","11,9","533,25","155,74","34,6","4,366666"
22/04/2007,"80,6","12,3",545,"154,48","27,5","2,599999"
23/04/2007,"96,9","9,2","534,25","154,66","28,4","4,599999"
24/04/2007,85,"8,8","528,5","154,88","26,1","4,766666"
25/04/2007,"80,5","8,8","530,5","155,72",27,"4,999999"
26/04/2007,"42,3","9,1","537,75","154,64","30,4","5,666666"
27/04/2007,41,10,"542,5","153,3","30,4","6,033333"
28/04/2007,"59,4",9,"535,25","153,58","29,5","5,766666"
29/04/2007,"59,4","8,3","546,25","152,84","36,6","7,366666"
30/04/2007,"55,1","8,8",541,"152,86","34,9","4,966666"
1/5/2007,"54,6","8,6",538,"153,36","39,6","5,066666"
2/5/2007,"72,9","8,6","532,75","154,38","43,8","5,499999"
3/5/2007,"63,4","9,7","521,75","154,68","48,5","5,499999"
4/5/2007,"61,7","10,8","524,75","155,12","47,1","4,999999"
5/5/2007,"44,7","12,7","509,25","155,8",49,"11,699999"
6/5/2007,"44,7",13,"508,5",156,49,"10,199999"
7/5/2007,33,"14,3","497,75","156,26","45,5","12,033332"
8/5/2007,33,"14,4","492,75","156,22","48,2","12,366665"
9/5/2007,"15,7",16,499,"156,8","46,7","11,933332"
10/5/2007,"6,8","15,9","491,5","157,18","44,8","11,899999"
11/5/2007,"6,8",16,"490,5","157,46","49,2","12,399999"
12/5/2007,"1,6","15,8","483,25","157,72","48,9","5,799999"
13/05/2007,"1,6","16,3","488,75","158,24","47,5","7,966666"
14/05/2007,"3,1","15,7","492,25","158,02","51,6","6,533333"
15/05/2007,"3,1","15,5",492,"157,26","49,7","7,033333"
16/05/2007,"6,8","14,1","489,5","156,38","53,8","6,966666"
17/05/2007,"6,8","14,8","481,75","155,98","58,4","7,166666"
18/05/2007,"6,8","15,4","484,25","155,4","58,2","7,099999"
19/05/2007,"6,8","16,2","473,75","155,36","56,8","7,633333"
20/05/2007,"6,8","16,9","464,25","156,06","60,9","5,566666"
21/05/2007,5,"17,8","462,5","156,42","60,7","6,066666"
22/05/2007,5,"18,3","459,5","157,06","62,6","5,4"
23/05/2007,"3,4","19,2",473,"157,04",57,"5,5"
24/05/2007,"7,7","18,6",468,"158,48","56,2","5,666666"
25/05/2007,"7,7","18,4","473,25","158,42","54,6","6,166666"
26/05/2007,"20,5","16,1","478,75","158,78","55,8","6,466666"
27/05/2007,"20,5","15,4","472,25","159,4","55,8","6,366666"
28/05/2007,"20,5","15,4","472,75","159,22","59,3","6,099999"
29/05/2007,"20,5","16,6",464,"159,04","61,1","6,433332"
30/05/2007,"17,1","17,6",461,"158,54",67,"6,666666"
31/05/2007,"12,8","19,4",448,"158,92","66,9","6,333333"
1/6/2007,"12,8","20,6","445,75","159,16","67,9","5,738147"
2/6/2007,"5,3","21,1","442,25","158,9","67,7","5,57148"
3/6/2007,"5,3","23,2","431,75","158,54",68,"5,904814"
4/6/2007,"5,3","24,9","439,25","158,78",66,"7,338148"
5/6/2007,"5,3","24,1","436,25","159,16","64,7","7,271481"
6/6/2007,"5,3","24,6","447,25","159,08","62,1","8,104814"
7/6/2007,"8,3","23,9","446,75",158,"58,1","7,938147"
8/6/2007,"11,1","22,6","448,75","157,92","57,8","8,033333"
9/6/2007,"5,8","24,2","452,75","159,2","59,1","7,366666"
10/6/2007,"5,8","23,9","460,25","158,84","51,7","8,199999"
11/6/2007,6,"21,9","462,75","157,92","50,9","6,866665"
12/6/2007,6,"23,2","447,75","157,56","49,8","6,933332"
13/06/2007,6,24,443,"156,86",50,"6,266665"
14/06/2007,3,"26,7","438,75","156,12","50,1","6,933332"
15/06/2007,"0,2",28,439,"155,68","50,2","7,299999"
16/06/2007,"0,2","29,5","423,75","156,08","50,4","8,299999"
17/06/2007,"0,2","31,6","414,5","156,16","57,8","7,466666"
18/06/2007,0,"34,7","414,75","156,22","56,2","8,3"
19/06/2007,"9,8","35,5","413,75","157,64","57,3","8,8"
20/06/2007,"9,8","35,7","409,5","158,68","58,7","9,3"
21/06/2007,"9,8","34,9","394,25","158,4","62,1","8,966667"
22/06/2007,"9,8","36,8","377,75","158,2","62,8","9,666667"
23/06/2007,"9,8","38,1","366,5","158,4","63,1","9,500001"
24/06/2007,"9,8",39,365,"157,86","58,6","11,000001"
25/06/2007,"9,8","37,5",351,"157,98","63,2","10,014441"
26/06/2007,0,"38,2","343,5","158,16","63,2","9,581108"
27/06/2007,0,"39,5","346,75","157,58","64,7","9,414442"
28/06/2007,0,"40,7","352,25","158,16","65,7","10,081108"
29/06/2007,"4,2","40,3","373,25","157,72","59,8","9,581108"
30/06/2007,5,"37,6","378,25","158,32","54,4","9,081108"
1/7/2007,5,35,381,"158,34","58,2","7,581108"
2/7/2007,5,"40,9","395,5","158,74","56,2","9,150001"
3/7/2007,5,"40,7","408,25","160,02","56,5","9,583334"
4/7/2007,5,"40,5",416,"161,02",56,"9,266667"
5/7/2007,5,"41,1","406,75",162,"56,2","7,933334"
6/7/2007,"0,8","43,8","400,75","163,28","61,2","7,933334"
7/7/2007,0,"47,8",398,"163,16","66,3","7,766667"
8/7/2007,0,"48,6",376,"163,24","67,4","7,85"
9/7/2007,0,"47,2",368,"163,4","67,8","7,1"
10/7/2007,"0,3","48,4",377,"162,7","66,7","6,85"
11/7/2007,"0,3","49,3",383,"162,66","64,8","7,6"
12/7/2007,"0,3","49,4",385,"162,04","62,6","9,35"
13/07/2007,"0,3","49,3",394,"162,54","62,9","9,85"
14/07/2007,"0,6","50,1",420,"161,9","57,5","9,85"
15/07/2007,"0,6","51,8",428,"162,38","53,6","9,85"
16/07/2007,"2,6","50,1",426,"162,8","53,3","9,35"
17/07/2007,"2,4","50,4",434,"162,68","54,2","9,85"
18/07/2007,"2,4","51,5",444,"162,3","53,9","8,75"
19/07/2007,"2,4","52,5",450,"161,94","54,9","8,25"
20/07/2007,"2,4","53,1",435,"162,68","55,6",8
21/07/2007,"2,1","53,5",428,"162,08",61,8
22/07/2007,"2,1","54,3",412,"161,4","64,8","8,75"
23/07/2007,"0,1",56,407,"161,04","66,1","8,25"
24/07/2007,0,"57,5",410,"161,04","60,1","7,25"
25/07/2007,0,"55,1",402,"161,02","61,8",8
26/07/2007,0,"55,5",408,"160,56","62,6","7,35"
27/07/2007,0,"55,9",413,"160,38","60,2","6,85"
28/07/2007,0,"54,9",423,"161,12","59,8","6,85"
29/07/2007,0,"55,2",410,"161,98","56,6","6,1"
30/07/2007,0,"57,1",390,"163,28","58,3","6,25"
31/07/2007,0,"59,4",391,"164,18","65,4","6,5"
1/8/2007,0,"63,2","366,5","165,58","66,6","6,416667"
2/8/2007,0,"68,2","351,75","165,84","63,1","6,483334"
3/8/2007,0,"67,8","338,25","166,44","63,3","7,400001"
4/8/2007,0,"68,7","333,25","166,66","64,3","8,900001"
5/8/2007,0,"71,6","327,25","166,5","66,7","8,983334"
6/8/2007,0,"71,2","308,5","166,44","65,7","9,666667"
7/8/2007,0,"71,1","318,25","165,48","65,3","10,6"
8/8/2007,0,"72,3",314,"166,52","65,2","10,6"
9/8/2007,0,"70,3","313,25","166,22","68,3","11,266666"
10/8/2007,0,"72,3","316,25","166,82","70,1","11,599999"
11/8/2007,0,"75,1","318,25","167,08","69,8","10,266666"
12/8/2007,0,"75,5","330,75","167,34","69,8","12,933333"
13/08/2007,0,77,"331,5","167,92","68,9","12,533333"
14/08/2007,0,78,"328,25","167,96","69,8","12,533333"
15/08/2007,0,"82,5",319,"168,64","66,2","13,366666"
16/08/2007,0,"82,8","314,25","167,54","67,3","12,533333"
17/08/2007,0,"84,6","304,25","168,26","67,6","12,8"
18/08/2007,0,"83,3","303,75","167,88","67,8","14,033333"
19/08/2007,0,"82,6","297,5","167,02","68,9","11,2"
20/08/2007,0,"80,9","309,25","165,94",69,"15,266667"
21/08/2007,0,"79,1",317,"165,66","68,9","16,833334"
22/08/2007,0,"74,7","326,25","166,88","69,9","16,000001"
23/08/2007,0,"72,6","334,5","166,42","69,5","16,666668"
24/08/2007,0,"69,9",330,"165,82","69,9","16,500001"
25/08/2007,0,"68,1",336,"166,08",70,"15,766668"
26/08/2007,0,"67,3","333,75","167,14","68,8","17,600001"
27/08/2007,0,"69,8","326,5","167,36","70,2","14,266668"
28/08/2007,0,"72,6","320,5","166,52","70,5","14,138508"
29/08/2007,0,"74,3","321,75","165,32","72,9","15,005174"
30/08/2007,0,"77,1","320,25","165,74","72,4","15,505174"
31/08/2007,0,"77,7","321,5","166,56","72,3","15,071841"
1/9/2007,0,"81,6","325,25","166,2",72,"17,238507"
2/9/2007,0,83,"323,25","165,84","70,6","17,138507"
3/9/2007,0,"81,8",318,"166,54","68,3","17,805173"
4/9/2007,0,"80,4","313,25",167,"68,2","17,933333"
5/9/2007,0,"79,4","314,75","166,52","68,2","16,9"
6/9/2007,0,"77,3","316,5","165,9","68,3","18,4"
7/9/2007,0,"78,7","312,25","165,46","62,2","18,833333"
8/9/2007,0,"75,6","317,75","165,52",62,"18,166667"
9/9/2007,0,"75,4","324,25","165,48","62,8","19,033334"
10/9/2007,0,"73,2","323,25","166,82","65,5","17,366668"
11/9/2007,0,"73,4","317,75","168,44","64,8","16,033335"
12/9/2007,0,"74,4","308,75","168,78","64,8","17,366668"
13/09/2007,0,"77,1","295,25","169,88",65,"15,366668"
14/09/2007,0,"78,1","297,25","170,84","71,5","15,133335"
15/09/2007,0,"82,2","297,75","170,64","71,9","14,466668"
16/09/2007,0,83,"300,75","170,5","73,5","12,533334"
17/09/2007,0,"86,6","302,5","170,7","73,5","15,133334"
18/09/2007,0,"88,1","309,5","170,62",74,"16,966667"
19/09/2007,0,"87,9","316,75","170,28","71,7","17,300001"
20/09/2007,0,"87,1","317,25","168,98","69,3","18,233334"
21/09/2007,0,84,"324,75","168,66","65,8","18,866667"
22/09/2007,0,79,330,"167,8","65,2","17,7"
23/09/2007,0,"77,5","327,25","167,5","65,2","19,033334"
24/09/2007,0,"77,1","316,25","168,4","64,9","17,266667"
25/09/2007,0,"77,5",315,"168,3","64,5","15,433334"
26/09/2007,0,"76,5","314,5","168,44","66,7","14,1"
27/09/2007,0,"74,4","306,75","168,44",67,"13,5"
28/09/2007,0,"74,4","303,75","168,9","70,3","13,87184"
29/09/2007,0,"76,3",306,"168,88","70,6","15,97184"
30/09/2007,0,"76,3","310,25","168,42","70,6","14,638506"
1/10/2007,0,"75,1","310,25","168,58","70,8","16,705173"
2/10/2007,0,"73,2",306,"169,04","70,5","16,371839"
3/10/2007,0,73,"303,25","169,5",70,"16,371839"
4/10/2007,0,"76,3","304,25","169,52","71,8","15,871839"
5/10/2007,0,80,"305,75","169,36","69,6","16,166666"
6/10/2007,0,"81,2","303,5","169,24","69,7","15,233333"
7/10/2007,0,"83,1",302,"168,74","69,9","16,733333"
8/10/2007,0,"82,7",308,"168,48","70,2","14,233333"
9/10/2007,0,"82,2","306,75","168,74","71,6","14,833333"
10/10/2007,0,"83,8",309,"168,88","71,1",16
11/10/2007,0,"82,6","310,25","169,32","71,3",17
12/10/2007,0,"80,8","320,75","169,3","72,1","16,433333"
13/10/2007,0,80,329,"169,54","72,2","15,366666"
14/10/2007,0,"78,5",323,"170,54",71,"15,533333"
15/10/2007,0,"79,4",318,"170,76","70,2","15,966666"
16/10/2007,0,"81,3","321,75","170,68","69,9","15,433333"
17/10/2007,0,82,320,170,"71,4","14,6"
18/10/2007,0,"83,1",319,"169,38","69,9","14,266667"
19/10/2007,0,"82,9","321,75","169,08","69,8","13,666667"
20/10/2007,0,82,"326,5","168,24","66,8","15,900001"
21/10/2007,0,"81,6",341,"167,74","65,3","16,233334"
22/10/2007,0,79,"331,75","167,78","65,2","16,900001"
23/10/2007,0,77,"331,75","167,88","65,2","17,166668"
24/10/2007,0,"75,1",327,"169,24","64,9","18,833334"
25/10/2007,0,"73,1","320,25","170,08","66,8","20,5"
26/10/2007,0,"76,4","316,75","171,08","68,5","20,666667"
27/10/2007,0,"79,6","305,75","171,58","71,6","19,166667"
28/10/2007,0,"80,6",314,"171,66","73,9","19,000001"
29/10/2007,0,"82,1","314,75","172,3","74,5","20,000001"
30/10/2007,0,"83,1","319,25","171,76","73,7","20,000001"
31/10/2007,0,"82,6","319,5","171,78","73,6","18,500001"
1/11/2007,0,"82,3","318,25","171,5","71,8","17,000001"
2/11/2007,0,"80,8",338,"171,48","68,1","16,966667"
3/11/2007,"1,1","75,6","332,25","171,26","65,5","17,466667"
4/11/2007,"1,1","75,1","331,25","170,64","65,6","16,8"
5/11/2007,"1,1","76,2","326,75","170,52","64,8","14,7"
6/11/2007,"1,1","75,8","321,75","170,14","65,3","15,2"
7/11/2007,"1,1","76,4","325,5","169,88","66,1","15,866667"
8/11/2007,"1,1","78,1",306,"170,18","68,7","15,533334"
9/11/2007,"1,1","77,8","305,5","171,82",72,"15,900001"
10/11/2007,0,"78,4","307,25","172,74","74,9","16,900001"
11/11/2007,0,"78,3","309,25","173,38","74,5","15,900001"
12/11/2007,0,"76,5","323,5","174,3",74,"17,933334"
13/11/2007,0,"74,9","328,25","173,74","73,1","16,9"
14/11/2007,0,"73,1","327,5","172,94","72,7","17,066667"
15/11/2007,0,"71,7","333,5","170,82",70,"17,9"
16/11/2007,0,"69,5","335,25","170,2","70,4","17,733333"
17/11/2007,0,"72,1","338,5","170,36","70,3","17,899999"
18/11/2007,0,"74,2","330,75","170,3","71,4","19,566666"
19/11/2007,0,"76,5","318,75","171,52","73,4","17,466666"
20/11/2007,0,80,321,"171,78","73,6","17,333333"
21/11/2007,0,84,"320,25","172,32","70,2","16,333333"
22/11/2007,0,"84,3","322,5","173,08","70,2","15,666667"
23/11/2007,0,"86,1","320,5","173,42","69,2","15,500001"
24/11/2007,0,"85,1","325,25","173,14","67,5","13,666668"
25/11/2007,0,"82,7","341,75","172,42","61,7","11,566668"
26/11/2007,"0,1","77,9","347,75","172,96","60,8","13,233335"
27/11/2007,"0,1","73,8","350,75","172,62","58,5","12,900002"
28/11/2007,"0,1","69,5",346,"171,94","61,8","12,066668"
29/11/2007,"0,1","67,7","347,5","171,12","63,7","11,566668"
30/11/2007,"0,1",64,"346,5","171,22","61,1","11,233334"
1/12/2007,"0,1","62,2",344,"171,12","57,5","9,900001"
2/12/2007,"0,1","59,6","355,75","170,44","57,7","12,583334"
3/12/2007,0,"59,4","354,75","171,74","56,8","11,166667"
4/12/2007,0,"59,8","367,5","171,7",59,"13,5"
5/12/2007,0,"59,3","374,25","172,28","58,7","16,166667"
6/12/2007,0,"59,8","367,75","172,2","54,8","16,65"
7/12/2007,"0,1",58,374,"172,64","53,2","17,316667"
8/12/2007,"0,1",58,386,"172,28","53,6","19,4"
9/12/2007,3,"57,4",396,"171,18","56,9","18,15"
10/12/2007,3,"58,8",397,"171,3","58,2","19,65"
11/12/2007,3,59,407,"170,78","57,1","19,9"
12/12/2007,"3,1","58,1",423,"170,9","52,2","19,4"
13/12/2007,"3,1","55,1",426,"170,86","54,2","20,5"
14/12/2007,3,"55,7",419,"170,9","53,4","20,75"
15/12/2007,"3,2",55,438,"169,06","48,2","19,75"
16/12/2007,1,"52,1",449,"168,38","43,6","19,75"
17/12/2007,"19,8","49,8",475,"163,04","32,8",18
18/12/2007,44,"40,7",497,"160,98","32,7","16,4"
19/12/2007,"43,9","40,6",501,"159,86","37,1","15,4"
