Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao,TempMedia,Umidade,VelVento,Semana,Ano
01/01/2007,0,,35,,7.3,4,27.68,73,2.367027,1,2007
01/01/2007,1200,9.8,,23.4,,,,,,1,2007
02/01/2007,0,,35.5,,7,3.8,27.92,70.75,2.5,1,2007
02/01/2007,1200,8,,23.2,,,,,,1,2007
03/01/2007,0,,35.5,,5.5,5.7,27.74,69,2.433333,1,2007
03/01/2007,1200,0.7,,23.1,,,,,,1,2007
04/01/2007,0,,36.5,,8.4,6,28.28,63.5,2,1,2007
04/01/2007,1200,1.9,,24.7,,,,,,1,2007
05/01/2007,0,,35.3,,9.1,7.8,28,59.25,2.5,1,2007
05/01/2007,1200,0,,20,,,,,,1,2007
06/01/2007,0,,37.3,,10.9,7.3,29.14,52,3,1,2007
06/01/2007,1200,0,,24.5,,,,,,1,2007
07/01/2007,0,,35.5,,7.8,8.2,28.76,63,0.833333,2,2007
07/01/2007,1200,0,,24.9,,,,,,2,2007
08/01/2007,0,,37.1,,8.3,6.8,29.4,51.75,2.266667,2,2007
08/01/2007,1200,0.1,,23.8,,,,,,2,2007
09/01/2007,0,,35.4,,5.2,7.6,28.04,72,1.666667,2,2007
09/01/2007,1200,0,,22.6,,,,,,2,2007
10/01/2007,0,,37.5,,10,5.3,29.2,50.25,2,2,2007
10/01/2007,1200,0,,23,,,,,,2,2007
11/01/2007,0,,37.1,,7.7,7.7,28.86,56.75,1.666667,2,2007
11/01/2007,1200,0,,22.7,,,,,,2,2007
12/01/2007,0,,35.7,,3.2,6.2,28.16,62.25,2.166667,2,2007
12/01/2007,1200,5.2,,23,,,,,,2,2007
13/01/2007,0,,36.5,,8.9,5.5,28.08,57,0.666667,2,2007
13/01/2007,1200,0,,22.9,,,,,,2,2007
14/01/2007,0,,37.1,,7.7,8.1,29.16,51,2.933333,3,2007
14/01/2007,1200,0,,21,,,,,,3,2007
15/01/2007,0,,36.1,,2.2,8.8,29.36,55.5,1.833333,3,2007
15/01/2007,1200,0,,24,,,,,,3,2007
16/01/2007,0,,37.2,,8.1,6.8,29.42,53.25,2.666667,3,2007
16/01/2007,1200,0,,22,,,,,,3,2007
17/01/2007,0,,38,,9.9,8.4,30.3,46.75,2.766667,3,2007
17/01/2007,1200,0,,22.8,,,,,,3,2007
18/01/2007,0,,37.7,,9.3,8.8,29.82,48.75,3,3,2007
18/01/2007,1200,0.5,,24.1,,,,,,3,2007
19/01/2007,0,,37.5,,9.2,10.2,28.6,56,3,3,2007
19/01/2007,1200,0,,21,,,,,,3,2007
20/01/2007,0,,37.3,,8.4,9.8,29.56,53.5,1.166667,3,2007
20/01/2007,1200,0,,24,,,,,,3,2007
21/01/2007,0,,38.3,,10.6,9.8,29.78,51,1.5,4,2007
21/01/2007,1200,0,,22.8,,,,,,4,2007
22/01/2007,0,,37.5,,10.5,10.6,28.82,56.5,2.5,4,2007
22/01/2007,1200,0,,23.1,,,,,,4,2007
23/01/2007,0,,37.4,,7.7,8.5,28.8,60.5,2.666667,4,2007
23/01/2007,1200,0,,23,,,,,,4,2007
24/01/2007,0,,37.1,,8,8.3,28.96,55.75,3.266667,4,2007
24/01/2007,1200,0,,23.1,,,,,,4,2007
25/01/2007,0,,32.4,,9.3,8,28.3,74,1.01444,4,2007
25/01/2007,1200,0,,24.9,,,,,,4,2007
26/01/2007,0,,38.1,,10.2,9.5,29.32,52.5,2.833333,4,2007
26/01/2007,1200,0,,22,,,,,,4,2007
27/01/2007,0,,38.5,,10.5,11.3,29.64,46.25,2.233333,4,2007
27/01/2007,1200,0,,23.2,,,,,,4,2007
28/01/2007,0,,38.7,,9.6,9.1,29.54,54.75,3.766667,5,2007
28/01/2007,1200,0,,23.4,,,,,,5,2007
29/01/2007,0,,37.4,,7.7,9.2,29.18,60.5,4.5,5,2007
29/01/2007,1200,0,,24,,,,,,5,2007
30/01/2007,0,,37.4,,6.2,9.3,29.82,57.75,0.5,5,2007
30/01/2007,1200,0,,25,,,,,,5,2007
31/01/2007,0,,34.1,,0.6,8.1,28.52,67.75,2,5,2007
31/01/2007,1200,0,,25.1,,,,,,5,2007
01/02/2007,0,,36.8,,6.7,6.3,29.42,64.25,3.833333,5,2007
01/02/2007,1200,0,,26,,,,,,5,2007
02/02/2007,0,,34,,6,7.6,26.9,84.25,2.266667,5,2007
02/02/2007,1200,2.4,,24.1,,,,,,5,2007
03/02/2007,0,,36,21.9,5.1,4.5,27.02,81.25,2.5,5,2007
03/02/2007,1200,0.3,,21.9,,,,,,5,2007
04/02/2007,0,,33.1,,3.1,2.7,25.9,89.5,1.233333,6,2007
04/02/2007,1200,29.4,,22.9,,,,,,6,2007
05/02/2007,0,,32.6,22.8,2.4,2.3,26,89.25,1,6,2007
05/02/2007,1200,13,,22.8,,,,,,6,2007
06/02/2007,0,,33.9,,6.8,1.2,27.78,73.5,1.833333,6,2007
06/02/2007,1200,12.3,,23,,,,,,6,2007
07/02/2007,0,,34.1,23.8,5.2,5.2,27.54,67.75,2.333333,6,2007
07/02/2007,1200,0.3,,23.8,,,,,,6,2007
08/02/2007,0,,34.2,,4.1,4.2,27.74,71.5,2.166667,6,2007
08/02/2007,1200,1.7,,23.7,,,,,,6,2007
09/02/2007,0,,33,,4.6,4,27.8,79,2,6,2007
09/02/2007,1200,0,,25,,,,,,6,2007
10/02/2007,0,,35,,8.3,4,28.3,64.25,1.333333,6,2007
10/02/2007,1200,1.4,,23.9,,,,,,6,2007
11/02/2007,0,,33.8,,5.6,6.4,27.84,63.75,4.266667,7,2007
11/02/2007,1200,0,,24,,,,,,7,2007
12/02/2007,0,,32.8,,5.7,5.8,26.6,82.25,1.533333,7,2007
12/02/2007,1200,0,,23,,,,,,7,2007
13/02/2007,0,,31.8,22.9,3.3,2.8,26.06,93.5,0.833333,7,2007
13/02/2007,1200,2.8,,22.9,,,,,,7,2007
14/02/2007,0,,30.2,21.9,2.5,1.4,24.9,93.75,0.5,7,2007
14/02/2007,1200,6,,21.9,,,,,,7,2007
15/02/2007,0,,29.8,,2.9,0.6,24.92,91.75,0.266667,7,2007
15/02/2007,1200,35.4,,21.7,,,,,,7,2007
16/02/2007,0,,32,22.8,5.4,1.3,25.84,92.5,0.5,7,2007
16/02/2007,1200,5.6,,22.8,,,,,,7,2007
17/02/2007,0,,29.4,,2.1,1.2,24.88,95.25,1.166667,7,2007
17/02/2007,1200,25.5,,22.2,,,,,,7,2007
18/02/2007,0,,31.2,,3.6,0.7,25.26,84.75,0.666667,8,2007
18/02/2007,1200,34.1,,23,,,,,,8,2007
19/02/2007,0,,29.8,,3.9,2.7,24.68,90,0.833333,8,2007
19/02/2007,1200,8.1,,22,,,,,,8,2007
20/02/2007,0,,30.1,,3.7,1.5,25.06,85,0.433333,8,2007
20/02/2007,1200,15,,21,,,,,,8,2007
21/02/2007,0,,32,,7.8,2.5,26.28,78,0.333333,8,2007
21/02/2007,1200,0,,22,,,,,,8,2007
22/02/2007,0,,32.2,,6.5,3,26.86,85.75,0.6,8,2007
22/02/2007,1200,0,,24.4,,,,,,8,2007
23/02/2007,0,,26.2,,0,2.2,23.38,93.5,0.4,8,2007
23/02/2007,1200,25.9,,21.8,,,,,,8,2007
24/02/2007,0,,31.7,,7.3,0.1,25.46,88,0.433333,8,2007
24/02/2007,1200,1.1,,20.9,,,,,,8,2007
25/02/2007,0,,32.4,,9.3,2,25.96,81,1.166667,9,2007
25/02/2007,1200,4.6,,21.8,,,,,,9,2007
26/02/2007,0,,31.8,,6.5,2.2,26.62,83.75,1.433333,9,2007
26/02/2007,1200,12,,23.1,,,,,,9,2007
27/02/2007,0,,32.3,,9.6,2.2,26.48,78.75,0.833333,9,2007
27/02/2007,1200,2.6,,22.1,,,,,,9,2007
28/02/2007,0,,31.4,,7,3.8,26.2,81.75,1,9,2007
28/02/2007,1200,0,,23,,,,,,9,2007
01/03/2007,0,,31.4,,7,2.2,25.66,90.75,1.5,9,2007
01/03/2007,1200,2.8,,22.9,,,,,,9,2007
02/03/2007,0,,31.6,,6.3,1.7,25.92,85.75,0.6,9,2007
02/03/2007,1200,2.3,,22.8,,,,,,9,2007
03/03/2007,0,,31.6,,5,3,26.08,84.25,1.5,9,2007
03/03/2007,1200,0,,22.2,,,,,,9,2007
04/03/2007,0,,32.6,,9,2.3,26.74,78,0.433333,10,2007
04/03/2007,1200,0,,23.1,,,,,,10,2007
05/03/2007,0,,32.4,,7.8,3.5,26.62,74.5,1.166667,10,2007
05/03/2007,1200,0,,22.5,,,,,,10,2007
06/03/2007,0,,31.9,,6.1,3.1,26.18,88.75,0.5,10,2007
06/03/2007,1200,0,,22,,,,,,10,2007
07/03/2007,0,,31.2,22.3,3.2,2.2,25.58,87,4.266667,10,2007
07/03/2007,1200,2.9,,22.3,,,,,,10,2007
08/03/2007,0,,31.8,,6.6,1.7,26.28,85.25,0.833333,10,2007
08/03/2007,1200,16.7,,22.3,,,,,,10,2007
09/03/2007,0,,32.6,,7.6,2.9,26.38,86,0.666667,10,2007
09/03/2007,1200,0,,22.9,,,,,,10,2007
10/03/2007,0,,31.4,,4.1,2.4,26.34,84.25,0.666667,10,2007
10/03/2007,1200,2.8,,23.6,,,,,,10,2007
11/03/2007,0,,30.6,,5.8,1.9,25.08,86.5,1,11,2007
11/03/2007,1200,4.9,,22,,,,,,11,2007
12/03/2007,0,,30.4,,1.3,1.3,25.72,82.75,0.666667,11,2007
12/03/2007,1200,26.4,,21.9,,,,,,11,2007
13/03/2007,0,,28.8,,2.1,1.9,25.02,87.75,0,11,2007
13/03/2007,1200,2.6,,22.1,,,,,,11,2007
14/03/2007,0,,32.3,,8.4,1.5,25.92,79,1.233333,11,2007
14/03/2007,1200,0,,21.9,,,,,,11,2007
15/03/2007,0,,32.2,,7.3,3.1,26.32,85.5,0.533333,11,2007
15/03/2007,1200,0.2,,21.2,,,,,,11,2007
16/03/2007,0,,33,,7.7,2.8,26.16,81.75,0.833333,11,2007
16/03/2007,1200,3.8,,23,,,,,,11,2007
17/03/2007,0,,30.8,,2.9,2.1,25.12,93,1.833333,11,2007
17/03/2007,1200,1.2,,22,,,,,,11,2007
18/03/2007,0,,31.8,20.9,3.3,1,24.9,94.5,0.066667,12,2007
18/03/2007,1200,0.2,,20.9,,,,,,12,2007
19/03/2007,0,,31.9,,7.6,1.2,25.88,89.25,1.5,12,2007
19/03/2007,1200,10.9,,22.1,,,,,,12,2007
20/03/2007,0,,31,,2.8,1.4,26.2,81.75,0.9,12,2007
