Data_Notificacao,Infectados,Precipitacao,Evaporacao,Umidade,Temp_Maxima,Temp_Media,Temp_Minima,Insolacao,Vel_Media,IDH,Populacao
1/1/2007,6,0,7.3,74,30.6,28,27.4,8.3,3.97184,723,2357193
2/1/2007,10,0,6.9,69.5,32,28.82,27.1,11.3,3.966667,723,2357193
3/1/2007,26,0.5,8.2,81.75,29.5,27.24,25.9,1.3,2.433333,723,2357193
4/1/2007,20,7.9,3.1,71.5,31.3,27.8,25.9,11.2,3.166667,723,2357193
5/1/2007,22,2.7,5.9,83.75,28.7,26.52,24,3,3.766667,723,2357193
6/1/2007,4,6.8,3.6,73.75,31.5,27.94,24.9,10.4,4.3,723,2357193
7/1/2007,2,10,7,82.25,31.2,27.6,25,7.8,3.5,723,2357193
8/1/2007,4,1.6,5.3,75.25,32.1,28.12,25.1,9.5,4.333333,724,2357802
9/1/2007,8,6,7.9,82,31.2,27.74,25.9,4.7,2.766667,724,2357802
10/1/2007,14,0.6,2.1,78,31.6,27.96,25.3,10.3,3.533333,724,2357802
11/1/2007,2,0,5.7,78.25,31.8,27.98,25.3,7.1,3.033333,724,2357802
12/1/2007,18,0,5.4,73.25,31.7,28.22,25.7,8.7,3.133333,724,2357802
13/01/2007,12,0,6.7,72.25,31.3,27.82,25.4,10.5,3.166667,724,2357802
14/01/2007,6,0,5.5,76.25,31.9,28.12,25.1,7,3.7,724,2357802
15/01/2007,18,0,6.2,75.75,32.3,28.6,26.7,3.3,2.666667,724,2358411
16/01/2007,7,0,6.3,74.5,32.3,28.98,27.2,10,3.866667,724,2358411
17/01/2007,28,0,6.4,75,32.7,28.42,26.8,8.5,3.866667,724,2358411
18/01/2007,8,1.2,6.6,69.75,32.6,28.38,25.8,9.1,3.766667,724,2358411
19/01/2007,10,0,7.3,75.25,32.1,28.44,25.9,10.6,3.533333,724,2358411
20/01/2007,6,0,0.9,74.25,32.2,28.88,27.4,10.8,3.566667,724,2358411
21/01/2007,10,0,6.2,70.5,32.5,28.72,26.1,10.6,2.9,724,2358411
22/01/2007,29,0,7.6,72.75,32.7,28.32,25.7,9.7,3.333333,724,2359019
23/01/2007,10,0,5.7,75.25,31.7,28,25.1,5.7,2.333333,724,2359019
24/01/2007,68,0,4.5,76,31.9,28.28,25.7,6.5,3.566667,724,2359019
25/01/2007,6,0,6,76.75,30.8,28.6,27.4,8.4,3.91444,724,2359019
