Data_Notificacao,Infectados_Dengue_GISSA,Infectados_7,Infectados_14,Infectados_21,Infectados_28,Infectados_35,Precipitacao,Precipitacao_7,Precipitacao_14,Precipitacao_21,Precipitacao_28,Precipitacao_35,Evaporacao_Piche,Evaporacao_7,Evaporacao_14,Evaporacao_21,Evaporacao_28,Evaporacao_35,Umidade_Relativa_Media,Temp_Maxima,Temp_Comp_Media,Temp_Minima,Insolacao,Insolacao_7,Insolacao_14,Insolacao_21,Insolacao_28,Insolacao_35,Velocidade_Vento_Media,Vel_vento_7,Vel_vento_14,Vel_vento_21,Vel_vento_28,Vel_vento_35,IDH,Populacao,Populacao_Sexo_Feminino,Populacao_Sexo_Masculino,Idade<15,Idade-15-64,Idade>65,Densidade_Demografica,Populacao_urbana,Populacao_Rural,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
1/1/2007,6,0,0,0,0,0,0,0,0,0,0,0,7.3,0,0,0,0,0,74,30.6,28,27.4,8.3,0,0,0,0,0,3.97184,0,0,0,0,0,0.723,2357193,1253842,1103350,575770,1635951,145472,7545,2357193,0,78,98,150,139,128,139,249,363,419,423
2/1/2007,10,6,6,6,6,6,0,0,0,0,0,0,6.9,7.3,7.3,7.3,7.3,7.3,69.5,32,28.82,27.1,11.3,8.3,8.3,8.3,8.3,8.3,3.966667,3.97184,3.97184,3.97184,3.97184,3.97184,0.723,2357193,1253842,1103350,575770,1635951,145472,7545,2357193,0,77,101,154,140,143,126,286,373,421,485
3/1/2007,26,16,16,16,16,16,0.5,0,0,0,0,0,8.2,14.2,14.2,14.2,14.2,14.2,81.75,29.5,27.24,25.9,1.3,19.6,19.6,19.6,19.6,19.6,2.433333,7.938507,7.938507,7.938507,7.938507,7.938507,0.723,2357193,1253842,1103350,575770,1635951,145472,7545,2357193,0,91,141,129,125,141,138,305,441,348,535
4/1/2007,20,42,42,42,42,42,7.9,0.5,0.5,0.5,0.5,0.5,3.1,22.4,22.4,22.4,22.4,22.4,71.5,31.3,27.8,25.9,11.2,20.9,20.9,20.9,20.9,20.9,3.166667,10.37184,10.37184,10.37184,10.37184,10.37184,0.723,2357193,1253842,1103350,575770,1635951,145472,7545,2357193,0,97,139,149,107,150,167,297,454,376,512
5/1/2007,22,62,62,62,62,62,2.7,8.4,8.4,8.4,8.4,8.4,5.9,25.5,25.5,25.5,25.5,25.5,83.75,28.7,26.52,24,3,32.1,32.1,32.1,32.1,32.1,3.766667,13.538507,13.538507,13.538507,13.538507,13.538507,0.723,2357193,1253842,1103350,575770,1635951,145472,7545,2357193,0,89,163,131,109,158,171,325,452,398,535
6/1/2007,4,84,84,84,84,84,6.8,11.1,11.1,11.1,11.1,11.1,3.6,31.4,31.4,31.4,31.4,31.4,73.75,31.5,27.94,24.9,10.4,35.1,35.1,35.1,35.1,35.1,4.3,17.305174,17.305174,17.305174,17.305174,17.305174,0.723,2357193,1253842,1103350,575770,1635951,145472,7545,2357193,0,83,171,125,117,148,187,339,443,400,580
7/1/2007,2,88,88,88,88,88,10,17.9,17.9,17.9,17.9,17.9,7,35,35,35,35,35,82.25,31.2,27.6,25,7.8,45.5,45.5,45.5,45.5,45.5,3.5,21.605174,21.605174,21.605174,21.605174,21.605174,0.723,2357193,1253842,1103350,575770,1635951,145472,7545,2357193,0,87,165,129,123,154,205,335,451,423,591
8/1/2007,4,90,90,90,90,90,1.6,27.9,27.9,27.9,27.9,27.9,5.3,42,42,42,42,42,75.25,32.1,28.12,25.1,9.5,53.3,53.3,53.3,53.3,53.3,4.333333,25.105174,25.105174,25.105174,25.105174,25.105174,0.724,2357802,1254166,1103636,575629,1636599,145573,7547,2357802,0,98,150,139,128,139,249,363,419,423,647
9/1/2007,8,88,94,94,94,94,6,29.5,29.5,29.5,29.5,29.5,7.9,40,47.3,47.3,47.3,47.3,82,31.2,27.74,25.9,4.7,54.5,62.8,62.8,62.8,62.8,2.766667,25.466667,29.438507,29.438507,29.438507,29.438507,0.724,2357802,1254166,1103636,575629,1636599,145573,7547,2357802,0,101,154,140,143,126,286,373,421,485,585
10/1/2007,14,86,102,102,102,102,0.6,35.5,35.5,35.5,35.5,35.5,2.1,41,55.2,55.2,55.2,55.2,78,31.6,27.96,25.3,10.3,47.9,67.5,67.5,67.5,67.5,3.533333,24.266667,32.205174,32.205174,32.205174,32.205174,0.724,2357802,1254166,1103636,575629,1636599,145573,7547,2357802,0,141,129,125,141,138,305,441,348,535,599
