Semana,Ano,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao,TempMedia,Umidade,VelVento
1,2016,0,72.5,49.7,9.2,23.8,58.44,124.25,2.666667
2,2016,63.4,239.8,170.3,38.8,67.3,195.5,515.5,9.933333
3,2016,10.9,240,165.6,51.4,51.1,197.12,479.25,8.266666
4,2016,103.5,212.3,162.9,18.5,23.6,181.46,595.75,4.533333
5,2016,37.8,218,160.5,37.4,24.2,184.44,556.25,4.933333
6,2016,69.1,213.8,154.6,28.8,21.2,178.56,608.5,3.366667
7,2016,1.8,231.5,156.8,60.2,30.3,188.48,549.5,6.766666
8,2016,6.1,228.2,157.3,45.5,32.6,186.18,543.25,5.416666
9,2016,3.3,237.9,160.2,43.9,37,192.58,506.5,6.933334
10,2016,21.9,237.6,157.2,48.1,37.6,191.86,484.75,6.733334
11,2016,26.5,239.9,158.5,50.2,30.6,192.68,503.5,7.733332
12,2016,47.2,233.9,165.2,51.7,23.8,192.42,525.75,5.066667
13,2016,31.3,234.2,162.8,54.7,25.3,192.8,528.75,4.666666
14,2016,112.6,221.5,161.1,24.9,14.5,183.36,572.75,3.916666
15,2016,82.4,214.9,161.8,27.3,8.7,182.38,600.25,4.366666
16,2016,20.1,224.4,156.9,49.5,18.7,186.1,573.25,3.166667
17,2016,14,223.3,159.7,53.6,19.9,187.54,567,3.866667
18,2016,0,237.7,152.3,63.1,27.5,189.52,539.25,4.3
19,2016,2.6,235.3,153.7,50,26.6,187.82,562.5,5.566666
20,2016,30.2,233.2,154.9,49.2,20.7,187.84,592.25,3.733333
21,2016,2.3,242.7,148.1,63.9,31.9,190.26,508.75,4.333332
22,2016,0,246.4,147.2,61.6,49.1,192.52,492.75,5.333334
23,2016,2.3,246.5,149.9,50,46.2,191.6,533.25,4.733332
24,2016,11.1,242.4,148.1,46.3,42.6,188.08,532.75,5.133333
25,2016,0,249.1,141.8,63.6,60.3,190,463.75,5.166666
26,2016,0,253.3,144.3,63.4,68.4,193.9,435.75,5.633333
27,2016,0,250.1,139.6,63.6,87.1,193.72,405.75,6.133333
28,2016,0.7,245.1,148.6,47.8,82.8,193.62,478,6.25
29,2016,0,251.4,140.1,64.9,68.9,191.66,478.92,6.75
30,2016,0,253.7,141.3,64.1,74,191.56,478,6.9
31,2016,0,253.6,141.4,63.1,85.7,193.66,443,10.25
32,2016,0,257.9,140.8,72.9,98.1,196.3,372.25,7.499999
33,2016,0,258.9,143.7,67.2,86.6,192.32,415.25,6.533333
34,2016,0,257.6,140.1,72.2,88.1,193.76,394.75,9.733332
35,2016,0,260.1,151.8,66.4,95.4,196.8,401.75,9.266667
36,2016,0,261,153,73.9,102.9,199.98,386.25,9.083333
37,2016,0.3,265.2,152.7,73.3,95.7,198.02,464,10.5
38,2016,0,262.7,155.3,64.8,92.9,198.68,466,11.5
39,2016,0,261.8,147.3,65.4,96.5,195.46,449,14.25
40,2016,0,258.1,154,60.8,87.8,196.94,464.25,15.083333
41,2016,0,262.7,157.2,71,102.6,202.7,377,11.266667
42,2016,0,265,155.5,76.4,118.7,202.4,364.25,11.733333
43,2016,0,264.5,162.9,59.6,102.2,202.92,403.5,9.633333
44,2016,0,266.3,155.6,70.7,110.9,202.36,384,9.633334
45,2016,0,264.9,160.7,72,119.4,205.36,375.75,13.566667
46,2016,0.6,261.3,165.6,61.3,106.1,204.3,397.75,11.3
47,2016,0,256.8,160,57.8,93.8,200.74,423,10.066666
48,2016,0,265.5,154.7,68.8,99.6,202.58,386,11.733333
49,2016,0,264.5,161,66.5,104,203.42,413.75,12.116666
50,2016,0,266.4,160,64.1,88.2,203.56,471,10.5
51,2016,0.5,253.5,167.2,34.6,79.9,201.46,478,9
52,2016,6.7,244.2,165.5,28.8,74.9,198.46,495,8.25
53,2016,8.2,255,168.4,45.3,83.7,203.44,472.75,9.4
1,2017,34.5,256.1,160.4,52.8,69.3,197.82,477.92,7.666667
2,2017,1.4,242.1,160,47.5,59,194.2,476.25,8.733334
3,2017,11.6,239.5,163.1,40.3,51.9,193.72,511.25,6.133332
4,2017,28.8,235.5,160.9,44.6,42.8,191.18,550.5,6.733332
