Semana,Ano,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao,TempMedia,Umidade,VelVento
1,2008,15.7,169.8,116,28.8,33.3,137.26,344.75,9.8
2,2008,5.6,248.1,155.3,53,62.3,192.6,475.25,8.866666
3,2008,20.3,226.3,161.9,27.7,32.9,184.8,584.75,8.833333
4,2008,56.8,221.9,159.4,34.1,36.7,182.88,582.75,6.200001
5,2008,38.4,224.4,161.2,41.4,27.3,185.16,591.75,6.133333
6,2008,28.4,237.5,156,66,31.4,189.76,499,8.766667
7,2008,21.5,233.8,158.6,45.3,33.2,188.3,545.5,9.166667
8,2008,57.8,229.6,159.2,40.8,18.2,186.4,570.25,3.9
9,2008,8.6,226.3,162.8,43.1,23,185.92,568,5.6
10,2008,99.3,217.2,152.6,32.4,12.9,175.84,610.75,5.100001
11,2008,13.1,214.8,152.3,40.2,13.1,176.64,611.25,5.033333
12,2008,36.5,219.5,151,48.2,13.1,174.44,602.75,4.566667
13,2008,115.9,215.5,159.4,28.7,10.7,177.48,625.25,4.566666
14,2008,118.6,214.2,155.8,36.9,12.7,176.2,620.75,3.966667
15,2008,149.1,211,155.4,35,9.1,176.06,638.75,5.500001
16,2008,21.4,216.1,158.5,44.2,11.2,180.62,613.5,5.333334
17,2008,30,216.4,158,41.5,9.7,180.66,614.75,4.966666
18,2008,66.4,217.4,159.8,42.7,14.4,181.24,604.75,4.933333
19,2008,100.4,217.9,156.3,44.9,10,178.86,607,3.9
20,2008,5,209.5,156,29.6,12.3,176.88,599.5,4.166666
21,2008,15,218.1,150.4,57,12.9,178.24,583.5,6.933333
22,2008,40.1,217.9,154.3,52.6,15.8,180,572,6.366666
23,2008,0.1,216.5,150.4,42.8,15.9,176.68,573,5.066667
24,2008,2.5,218.8,153.2,37.7,18.8,179,566.75,4.499999
25,2008,0.3,223.8,145.6,53.3,32.9,179.66,509,6.333333
26,2008,0,230.8,139.3,47.3,51.7,182.12,474,4.133333
27,2008,3.4,231.1,147.6,44.4,40.5,185.78,499.5,6.85
28,2008,0.1,234.6,145.2,55.3,40.2,185,450,5.15
29,2008,0.8,236.1,147.9,51,27.4,185.98,470,4.8
30,2008,0,246.6,147.4,60.5,40.7,192.12,487,6
31,2008,1.2,236.1,147.2,45.2,51.1,188.86,466.25,5.016667
32,2008,19.6,242,147.1,54.1,39.8,186.54,458.5,14.7
33,2008,4.9,246.7,147.4,69.5,42.4,191.54,405,9.7
34,2008,0,252.1,150.7,62.7,59.4,194.82,414.25,15
35,2008,0,256,150.2,63.6,59.5,195.24,449,19
36,2008,0,252.4,149.3,68.9,59.1,195.04,458,21.75
37,2008,0,257.4,157.5,71.4,74.3,200.7,426,24.25
38,2008,0,260.3,154.3,73.9,88.9,201.2,413,19.5
39,2008,0,261.9,150.7,69.6,76.6,198.88,431,29.15
40,2008,0,260.1,156.4,62.9,61.8,201.46,499,22
41,2008,0,263,154.7,66.6,78.7,200.18,364.25,14.833333
