Semana,Ano,Infectados
1,2016,0
2,2016,0
3,2016,0
4,2016,0
5,2016,0
6,2016,0
7,2016,0
8,2016,0
9,2016,0
10,2016,0
11,2016,0
12,2016,0
13,2016,0
14,2016,0
15,2016,0
16,2016,0
17,2016,0
18,2016,0
19,2016,0
20,2016,0
21,2016,0
22,2016,0
23,2016,0
24,2016,0
25,2016,0
26,2016,0
27,2016,0
28,2016,0
29,2016,0
30,2016,0
31,2016,0
32,2016,0
33,2016,0
34,2016,0
35,2016,0
36,2016,0
37,2016,0
38,2016,0
39,2016,0
40,2016,0
41,2016,0
42,2016,0
43,2016,0
44,2016,0
45,2016,0
46,2016,0
47,2016,0
48,2016,0
49,2016,0
50,2016,0
51,2016,0
52,2016,0
53,2016,0
1,2017,0
2,2017,0
3,2017,0
4,2017,0
5,2017,0
6,2017,0
7,2017,0
8,2017,0
9,2017,0
10,2017,0
11,2017,0
12,2017,0
13,2017,0
14,2017,0
15,2017,0
16,2017,0
17,2017,0
18,2017,0
19,2017,0
20,2017,0
21,2017,0
22,2017,0
23,2017,0
24,2017,0
25,2017,0
26,2017,0
27,2017,0
28,2017,0
29,2017,0
30,2017,0
31,2017,0
32,2017,0
33,2017,0
34,2017,0
35,2017,0
36,2017,0
37,2017,0
38,2017,0
39,2017,0
40,2017,0
41,2017,0
42,2017,0
43,2017,0
44,2017,0
45,2017,0
46,2017,0
47,2017,0
48,2017,0
49,2017,0
50,2017,0
51,2017,0
52,2017,0
53,2017,0
1,2018,0
2,2018,0
3,2018,0
4,2018,0
5,2018,0
6,2018,0
7,2018,0
8,2018,0
9,2018,0
10,2018,0
11,2018,0
12,2018,0
13,2018,0
14,2018,0
15,2018,0
16,2018,0
17,2018,0
18,2018,0
19,2018,0
20,2018,0
21,2018,0
22,2018,0
23,2018,0
24,2018,0
25,2018,0
26,2018,0
27,2018,0
28,2018,0
29,2018,0
30,2018,0
31,2018,0
32,2018,0
33,2018,0
34,2018,0
35,2018,0
36,2018,0
37,2018,0
38,2018,0
39,2018,0
40,2018,0
41,2018,0
42,2018,0
43,2018,0
44,2018,0
45,2018,0
46,2018,0
47,2018,0
48,2018,0
49,2018,0
50,2018,0
51,2018,0
52,2018,0
53,2018,0
1,2019,0
2,2019,0
3,2019,0
4,2019,0
5,2019,0
6,2019,0
7,2019,0
8,2019,0
9,2019,0
10,2019,0
11,2019,0
12,2019,0
13,2019,0
14,2019,0
15,2019,0
16,2019,0
17,2019,0
18,2019,0
19,2019,0
20,2019,0
21,2019,0
22,2019,0
23,2019,0
24,2019,0
25,2019,0
26,2019,0
27,2019,0
28,2019,0
29,2019,0
30,2019,0
31,2019,0
32,2019,0
33,2019,0
34,2019,0
35,2019,0
36,2019,0
37,2019,0
38,2019,0
39,2019,0
40,2019,0
41,2019,0
42,2019,0
43,2019,0
44,2019,0
45,2019,0
46,2019,0
47,2019,0
48,2019,0
49,2019,0
50,2019,0
51,2019,0
52,2019,0
53,2019,0
