Semana,Ano,Infectados
1,2016,0
2,2016,0
3,2016,0
4,2016,0
5,2016,1
6,2016,1
7,2016,1
8,2016,1
9,2016,1
10,2016,2
11,2016,2
12,2016,2
13,2016,2
14,2016,2
15,2016,1
16,2016,1
17,2016,1
18,2016,2
19,2016,1
20,2016,1
21,2016,2
22,2016,2
23,2016,1
24,2016,1
25,2016,2
26,2016,2
27,2016,3
28,2016,1
29,2016,1
30,2016,1
31,2016,1
32,2016,3
33,2016,0
34,2016,3
35,2016,0
36,2016,0
37,2016,0
38,2016,0
39,2016,0
40,2016,0
41,2016,0
42,2016,0
43,2016,0
44,2016,0
45,2016,0
46,2016,0
47,2016,0
48,2016,0
49,2016,0
50,2016,0
51,2016,1
52,2016,1
53,2016,0
1,2017,0
2,2017,0
3,2017,1
4,2017,0
5,2017,0
6,2017,0
7,2017,1
8,2017,0
9,2017,1
10,2017,1
11,2017,0
12,2017,0
13,2017,1
14,2017,1
15,2017,1
16,2017,2
17,2017,1
18,2017,1
19,2017,1
20,2017,2
21,2017,1
22,2017,1
23,2017,10
24,2017,1
25,2017,1
26,2017,1
27,2017,1
28,2017,2
29,2017,1
30,2017,1
31,2017,3
32,2017,3
33,2017,0
34,2017,0
35,2017,0
36,2017,0
37,2017,0
38,2017,0
39,2017,0
40,2017,0
41,2017,0
42,2017,0
43,2017,0
44,2017,0
45,2017,0
46,2017,0
47,2017,0
48,2017,0
49,2017,0
50,2017,0
51,2017,1
52,2017,0
53,2017,3
1,2018,0
2,2018,0
3,2018,0
4,2018,0
5,2018,0
6,2018,0
7,2018,1
8,2018,1
9,2018,1
10,2018,1
11,2018,1
12,2018,1
13,2018,0
14,2018,1
15,2018,1
16,2018,1
17,2018,1
18,2018,1
19,2018,1
20,2018,10
21,2018,1
22,2018,1
23,2018,1
24,2018,3
25,2018,1
26,2018,2
27,2018,1
28,2018,4
29,2018,1
30,2018,1
31,2018,1
32,2018,1
33,2018,0
34,2018,0
35,2018,0
36,2018,0
37,2018,0
38,2018,0
39,2018,0
40,2018,0
41,2018,0
42,2018,0
43,2018,0
44,2018,0
45,2018,0
46,2018,0
47,2018,0
48,2018,0
49,2018,0
50,2018,0
51,2018,0
52,2018,0
53,2018,0
1,2019,0
2,2019,1
3,2019,1
4,2019,0
5,2019,0
6,2019,1
7,2019,1
8,2019,1
9,2019,1
10,2019,1
11,2019,1
12,2019,0
13,2019,1
14,2019,1
15,2019,1
16,2019,1
17,2019,1
18,2019,1
19,2019,1
20,2019,1
21,2019,2
22,2019,1
23,2019,1
24,2019,1
25,2019,1
26,2019,1
27,2019,1
28,2019,1
29,2019,1
30,2019,1
31,2019,2
32,2019,2
33,2019,2
34,2019,2
35,2019,2
36,2019,2
37,2019,2
38,2019,2
39,2019,0
40,2019,0
41,2019,0
42,2019,0
43,2019,0
44,2019,0
45,2019,0
46,2019,0
47,2019,0
48,2019,0
49,2019,0
50,2019,0
51,2019,0
52,2019,0
53,2019,1
