city,year,weekofyear,Infectados,Var_Alvo
sb,2007,1,6,6
sb,2007,2,4,4
sb,2007,3,8,8
sb,2007,4,2,2
sb,2007,5,8,8
sb,2007,6,6,6
sb,2007,7,2,2
sb,2007,8,10,10
sb,2007,9,12,12
sb,2007,10,26,26
sb,2007,11,31,31
sb,2007,12,58,58
sb,2007,13,117,117
sb,2007,14,121,121
sb,2007,15,104,104
sb,2007,16,152,152
sb,2007,17,225,225
sb,2007,18,392,392
sb,2007,19,500,500
sb,2007,20,517,517
sb,2007,21,563,563
sb,2007,22,594,594
sb,2007,23,440,440
sb,2007,24,209,209
sb,2007,25,101,101
sb,2007,26,75,75
sb,2007,27,40,40
sb,2007,28,24,24
sb,2007,29,34,34
sb,2007,30,42,42
sb,2007,31,29,29
sb,2007,32,10,10
sb,2007,33,4,4
sb,2007,34,0,0
sb,2007,35,6,6
sb,2007,36,2,2
sb,2007,37,0,0
sb,2007,38,2,2
sb,2007,39,2,2
sb,2007,40,4,4
sb,2007,41,1,1
sb,2007,42,3,3
sb,2007,43,0,0
sb,2007,44,3,3
sb,2007,45,0,0
sb,2007,46,2,2
sb,2007,47,4,4
sb,2007,48,0,0
sb,2007,49,2,2
sb,2007,50,0,0
sb,2007,51,0,0
sb,2007,52,0,0
sb,2008,1,2,2
sb,2008,2,4,4
sb,2008,3,4,4
sb,2008,4,10,10
sb,2008,5,11,11
sb,2008,6,10,10
sb,2008,7,12,12
sb,2008,8,7,7
sb,2008,9,8,8
sb,2008,10,14,14
sb,2008,11,12,12
sb,2008,12,10,10
sb,2008,13,12,12
sb,2008,14,16,16
sb,2008,15,0,0
sb,2008,16,10,10
sb,2008,17,15,15
sb,2008,18,11,11
sb,2008,19,6,6
sb,2008,20,4,4
sb,2008,21,6,6
sb,2008,22,6,6
sb,2008,23,0,0
sb,2008,24,2,2
sb,2008,25,0,0
sb,2008,26,0,0
sb,2008,27,2,2
sb,2008,28,8,8
sb,2008,29,2,2
sb,2008,30,0,0
sb,2008,31,2,2
sb,2008,32,2,2
sb,2008,33,0,0
sb,2008,34,0,0
sb,2008,35,0,0
sb,2008,36,0,0
sb,2008,37,0,0
sb,2008,38,0,0
sb,2008,39,0,0
sb,2008,40,2,2
sb,2008,41,0,0
sb,2008,42,0,0
sb,2008,43,0,0
sb,2008,44,0,0
sb,2008,45,0,0
sb,2008,46,0,0
sb,2008,47,0,0
sb,2008,48,0,0
sb,2008,49,0,0
sb,2008,50,0,0
sb,2008,51,0,0
sb,2008,52,1,1
sb,2009,1,1,1
sb,2009,2,2,2
sb,2009,3,4,4
sb,2009,4,5,5
sb,2009,5,2,2
sb,2009,6,1,1
sb,2009,7,2,2
sb,2009,8,2,2
sb,2009,9,2,2
sb,2009,10,1,1
sb,2009,11,1,1
sb,2009,12,3,3
sb,2009,13,0,0
sb,2009,14,0,0
sb,2009,15,1,1
sb,2009,16,1,1
sb,2009,17,1,1
sb,2009,18,0,0
sb,2009,19,1,1
sb,2009,20,1,1
sb,2009,21,1,1
sb,2009,22,1,1
sb,2009,23,0,0
sb,2009,24,0,0
sb,2009,25,0,0
sb,2009,26,1,1
sb,2009,27,0,0
sb,2009,28,0,0
sb,2009,29,0,0
sb,2009,30,0,0
sb,2009,31,0,0
sb,2009,32,0,0
sb,2009,33,1,1
sb,2009,34,1,1
sb,2009,35,0,0
