,Ano,Semana,Infectados
0,2007,1,4
1,2007,2,6
2,2007,3,6
3,2007,4,4
4,2007,5,8
5,2007,6,2
6,2007,7,8
7,2007,8,6
8,2007,9,2
9,2007,10,10
10,2007,11,12
11,2007,12,26
12,2007,13,31
13,2007,14,58
14,2007,15,117
15,2007,16,121
16,2007,17,104
17,2007,18,152
18,2007,19,225
19,2007,20,392
20,2007,21,500
21,2007,22,517
22,2007,23,563
23,2007,24,594
24,2007,25,440
25,2007,26,209
26,2007,27,101
27,2007,28,75
28,2007,29,40
29,2007,30,24
30,2007,31,34
31,2007,32,42
32,2007,33,29
33,2007,34,10
34,2007,35,4
35,2007,36,0
36,2007,37,6
37,2007,38,2
38,2007,39,0
39,2007,40,2
40,2007,41,2
41,2007,42,4
42,2007,43,1
43,2007,44,3
44,2007,45,0
45,2007,46,3
46,2007,47,0
47,2007,48,2
48,2007,49,4
49,2007,50,0
50,2007,51,2
51,2007,52,0
52,2007,53,0
53,2008,1,0
54,2008,2,0
55,2008,3,0
56,2008,4,2
57,2008,5,4
58,2008,6,4
59,2008,7,10
60,2008,8,11
61,2008,9,10
62,2008,10,12
63,2008,11,7
64,2008,12,8
65,2008,13,14
66,2008,14,12
67,2008,15,10
68,2008,16,12
69,2008,17,16
70,2008,18,0
71,2008,19,10
72,2008,20,15
73,2008,21,11
74,2008,22,6
75,2008,23,4
76,2008,24,6
77,2008,25,6
78,2008,26,0
79,2008,27,2
80,2008,28,0
81,2008,29,0
82,2008,30,2
83,2008,31,8
84,2008,32,2
85,2008,33,0
86,2008,34,2
87,2008,35,2
88,2008,36,0
89,2008,37,0
90,2008,38,0
91,2008,39,0
92,2008,40,0
93,2008,41,0
94,2008,42,0
95,2008,43,2
96,2008,44,0
97,2008,45,0
98,2008,46,0
99,2008,47,0
100,2008,48,0
101,2008,49,0
102,2008,50,0
103,2008,51,0
104,2008,52,0
105,2008,53,0
106,2009,1,0
107,2009,2,0
108,2009,3,0
109,2009,4,0
110,2009,5,1
111,2009,6,1
112,2009,7,2
113,2009,8,4
114,2009,9,5
115,2009,10,2
116,2009,11,1
117,2009,12,2
118,2009,13,2
119,2009,14,2
120,2009,15,1
121,2009,16,1
122,2009,17,3
123,2009,18,0
124,2009,19,0
125,2009,20,1
126,2009,21,1
127,2009,22,1
128,2009,23,0
129,2009,24,1
130,2009,25,1
131,2009,26,1
132,2009,27,1
133,2009,28,0
134,2009,29,0
135,2009,30,0
136,2009,31,1
137,2009,32,0
138,2009,33,0
139,2009,34,0
140,2009,35,0
141,2009,36,0
142,2009,37,0
143,2009,38,1
144,2009,39,1
145,2009,40,0
146,2009,41,0
147,2009,42,1
148,2009,43,0
149,2009,44,0
150,2009,45,0
151,2009,46,0
152,2009,47,0
153,2009,48,0
154,2009,49,0
155,2009,50,0
156,2009,51,0
157,2009,52,2
158,2009,53,0
159,2010,1,0
160,2010,2,0
161,2010,3,2
162,2010,4,0
163,2010,5,0
164,2010,6,2
165,2010,7,0
166,2010,8,0
167,2010,9,0
168,2010,10,2
169,2010,11,0
170,2010,12,0
171,2010,13,4
172,2010,14,0
173,2010,15,0
174,2010,16,0
175,2010,17,0
176,2010,18,0
177,2010,19,2
178,2010,20,0
179,2010,21,0
180,2010,22,0
181,2010,23,0
182,2010,24,0
183,2010,25,0
184,2010,26,0
185,2010,27,0
186,2010,28,2
187,2010,29,1
188,2010,30,0
189,2010,31,6
190,2010,32,0
191,2010,33,0
192,2010,34,0
193,2010,35,3
194,2010,36,8
195,2010,37,8
196,2010,38,2
197,2010,39,12
198,2010,40,6
199,2010,41,5
200,2010,42,6
201,2010,43,16
202,2010,44,7
203,2010,45,2
204,2010,46,2
205,2010,47,6
206,2010,48,7
207,2010,49,8
208,2010,50,2
209,2010,51,4
210,2010,52,6
211,2010,53,4
212,2011,1,0
213,2011,2,7
214,2011,3,6
215,2011,4,8
216,2011,5,9
217,2011,6,15
218,2011,7,9
219,2011,8,7
220,2011,9,7
221,2011,10,13
222,2011,11,6
223,2011,12,6
224,2011,13,1
225,2011,14,1
226,2011,15,0
227,2011,16,0
228,2011,17,1
229,2011,18,0
230,2011,19,0
231,2011,20,0
232,2011,21,0
233,2011,22,0
234,2011,23,0
235,2011,24,0
236,2011,25,0
237,2011,26,0
238,2011,27,0
239,2011,28,0
240,2011,29,0
241,2011,30,0
242,2011,31,0
243,2011,32,0
244,2011,33,0
245,2011,34,0
246,2011,35,0
247,2011,36,0
248,2011,37,0
249,2011,38,0
250,2011,39,0
251,2011,40,0
252,2011,41,0
253,2011,42,0
254,2011,43,0
255,2011,44,0
256,2011,45,0
257,2011,46,0
258,2011,47,0
259,2011,48,0
260,2011,49,0
261,2011,50,0
262,2011,51,0
263,2011,52,1
264,2011,53,1
265,2012,1,1
266,2012,2,0
267,2012,3,1
268,2012,4,0
269,2012,5,0
270,2012,6,1
271,2012,7,0
272,2012,8,2
273,2012,9,2
274,2012,10,0
275,2012,11,0
276,2012,12,1
277,2012,13,0
278,2012,14,0
279,2012,15,2
280,2012,16,2
281,2012,17,0
282,2012,18,2
283,2012,19,1
284,2012,20,1
285,2012,21,2
286,2012,22,0
287,2012,23,0
288,2012,24,0
289,2012,25,0
290,2012,26,0
291,2012,27,0
292,2012,28,2
293,2012,29,1
294,2012,30,0
295,2012,31,1
296,2012,32,0
297,2012,33,1
298,2012,34,0
299,2012,35,0
300,2012,36,0
301,2012,37,0
302,2012,38,0
303,2012,39,0
304,2012,40,0
305,2012,41,0
306,2012,42,1
307,2012,43,0
308,2012,44,0
309,2012,45,0
310,2012,46,0
311,2012,47,0
312,2012,48,0
313,2012,49,0
314,2012,50,0
315,2012,51,0
316,2012,52,0
317,2012,53,0
318,2013,1,0
319,2013,2,0
320,2013,3,0
321,2013,4,0
322,2013,5,0
323,2013,6,0
324,2013,7,0
325,2013,8,0
326,2013,9,0
327,2013,10,0
328,2013,11,0
329,2013,12,0
330,2013,13,0
331,2013,14,1
332,2013,15,2
333,2013,16,0
334,2013,17,1
335,2013,18,0
336,2013,19,0
337,2013,20,0
338,2013,21,0
339,2013,22,0
340,2013,23,0
341,2013,24,0
342,2013,25,0
343,2013,26,0
344,2013,27,1
345,2013,28,0
346,2013,29,0
347,2013,30,1
348,2013,31,2
349,2013,32,3
350,2013,33,1
351,2013,34,2
352,2013,35,0
353,2013,36,1
354,2013,37,0
355,2013,38,0
356,2013,39,1
357,2013,40,0
358,2013,41,1
359,2013,42,1
360,2013,43,0
361,2013,44,0
362,2013,45,0
363,2013,46,0
364,2013,47,0
365,2013,48,0
366,2013,49,0
367,2013,50,0
368,2013,51,0
369,2013,52,0
370,2013,53,0
371,2014,1,0
372,2014,2,0
373,2014,3,1
374,2014,4,0
375,2014,5,0
376,2014,6,0
377,2014,7,0
378,2014,8,0
379,2014,9,1
380,2014,10,1
381,2014,11,0
382,2014,12,2
383,2014,13,0
384,2014,14,1
385,2014,15,1
386,2014,16,1
387,2014,17,1
388,2014,18,3
389,2014,19,4
390,2014,20,6
391,2014,21,3
392,2014,22,10
393,2014,23,13
394,2014,24,27
395,2014,25,17
396,2014,26,40
397,2014,27,46
398,2014,28,68
399,2014,29,54
400,2014,30,42
401,2014,31,34
402,2014,32,19
403,2014,33,10
404,2014,34,11
405,2014,35,6
406,2014,36,3
407,2014,37,6
408,2014,38,4
409,2014,39,2
410,2014,40,1
411,2014,41,1
412,2014,42,0
413,2014,43,2
414,2014,44,0
415,2014,45,0
416,2014,46,1
417,2014,47,1
418,2014,48,1
419,2014,49,2
420,2014,50,2
421,2014,51,0
422,2014,52,1
423,2014,53,0
424,2015,1,0
425,2015,2,0
426,2015,3,3
427,2015,4,1
428,2015,5,1
429,2015,6,1
430,2015,7,2
431,2015,8,0
432,2015,9,2
433,2015,10,1
434,2015,11,1
435,2015,12,0
436,2015,13,0
437,2015,14,4
438,2015,15,1
439,2015,16,0
440,2015,17,3
441,2015,18,3
442,2015,19,1
443,2015,20,3
444,2015,21,9
445,2015,22,4
446,2015,23,13
447,2015,24,9
448,2015,25,12
449,2015,26,9
450,2015,27,8
451,2015,28,4
452,2015,29,0
453,2015,30,0
454,2015,31,0
455,2015,32,0
456,2015,33,0
457,2015,34,0
458,2015,35,0
459,2015,36,0
460,2015,37,0
461,2015,38,0
462,2015,39,0
463,2015,40,0
464,2015,41,0
465,2015,42,0
466,2015,43,0
467,2015,44,0
468,2015,45,0
469,2015,46,0
470,2015,47,0
471,2015,48,0
472,2015,49,0
473,2015,50,0
474,2015,51,0
475,2015,52,0
476,2015,53,2
477,2016,1,0
478,2016,2,5
479,2016,3,2
480,2016,4,6
481,2016,5,7
482,2016,6,6
483,2016,7,10
484,2016,8,14
485,2016,9,11
486,2016,10,4
487,2016,11,7
488,2016,12,17
489,2016,13,22
490,2016,14,42
491,2016,15,36
492,2016,16,50
493,2016,17,30
494,2016,18,33
495,2016,19,49
496,2016,20,36
497,2016,21,34
498,2016,22,27
499,2016,23,53
500,2016,24,44
501,2016,25,25
502,2016,26,32
503,2016,27,27
504,2016,28,25
505,2016,29,10
506,2016,30,9
507,2016,31,4
508,2016,32,5
509,2016,33,3
510,2016,34,4
511,2016,35,5
512,2016,36,1
513,2016,37,0
514,2016,38,3
515,2016,39,0
516,2016,40,0
517,2016,41,0
518,2016,42,3
519,2016,43,4
520,2016,44,2
521,2016,45,1
522,2016,46,1
523,2016,47,1
