ds,y
01/01/2007,0
08/01/2007,0
15/01/2007,0
22/01/2007,0
29/01/2007,0
05/02/2007,0
12/02/2007,0
19/02/2007,1
26/02/2007,2
05/03/2007,0
12/03/2007,0
19/03/2007,3
26/03/2007,1
02/04/2007,3
09/04/2007,0
16/04/2007,3
23/04/2007,2
30/04/2007,1
07/05/2007,4
14/05/2007,4
21/05/2007,4
28/05/2007,3
04/06/2007,7
11/06/2007,17
18/06/2007,12
25/06/2007,6
02/07/2007,8
09/07/2007,2
16/07/2007,6
23/07/2007,6
30/07/2007,4
06/08/2007,5
13/08/2007,2
20/08/2007,6
27/08/2007,0
03/09/2007,0
10/09/2007,1
17/09/2007,0
24/09/2007,1
01/10/2007,1
08/10/2007,0
15/10/2007,1
22/10/2007,1
29/10/2007,0
05/11/2007,0
12/11/2007,1
19/11/2007,0
26/11/2007,1
03/12/2007,1
10/12/2007,0
17/12/2007,1
24/12/2007,0
31/12/2007,0
07/01/2008,2
14/01/2008,12
21/01/2008,7
28/01/2008,10
04/02/2008,14
11/02/2008,23
18/02/2008,55
25/02/2008,52
03/03/2008,73
10/03/2008,80
17/03/2008,71
24/03/2008,98
31/03/2008,127
07/04/2008,253
14/04/2008,257
21/04/2008,243
28/04/2008,255
05/05/2008,164
12/05/2008,203
19/05/2008,138
26/05/2008,92
02/06/2008,64
09/06/2008,38
16/06/2008,36
23/06/2008,13
30/06/2008,14
07/07/2008,15
14/07/2008,2
21/07/2008,4
28/07/2008,0
04/08/2008,0
11/08/2008,0
18/08/2008,2
25/08/2008,2
01/09/2008,0
08/09/2008,0
15/09/2008,0
22/09/2008,0
29/09/2008,0
06/10/2008,0
13/10/2008,0
20/10/2008,0
27/10/2008,0
03/11/2008,0
10/11/2008,0
17/11/2008,0
24/11/2008,0
01/12/2008,0
08/12/2008,0
15/12/2008,0
22/12/2008,0
29/12/2008,0
05/01/2009,0
12/01/2009,1
19/01/2009,0
26/01/2009,1
02/02/2009,1
09/02/2009,1
16/02/2009,0
23/02/2009,0
02/03/2009,1
09/03/2009,1
16/03/2009,1
23/03/2009,0
30/03/2009,1
06/04/2009,0
13/04/2009,0
20/04/2009,0
