Data,Infectados_Dia
01/01/16,9
01/02/16,10
01/03/16,10
01/04/16,10
01/05/16,10
01/06/16,10
01/07/16,10
01/08/16,12
01/09/16,12
01/10/16,12
01/11/16,12
01/12/16,12
01/13/16,12
01/14/16,12
01/15/16,14
01/16/16,14
01/17/16,15
01/18/16,15
01/19/16,15
01/20/16,15
01/21/16,15
01/22/16,25
01/23/16,25
01/24/16,25
01/25/16,25
01/26/16,26
01/27/16,26
01/28/16,27
01/29/16,27
01/30/16,27
01/31/16,27
02/01/16,27
02/02/16,27
02/03/16,28
02/04/16,28
02/05/16,25
02/06/16,25
02/07/16,26
02/08/16,26
02/09/16,26
02/10/16,26
02/11/16,26
02/12/16,28
02/13/16,28
02/14/16,28
02/15/16,29
02/16/16,29
02/17/16,29
02/18/16,29
02/19/16,36
02/20/16,37
02/21/16,37
02/22/16,37
02/23/16,37
02/24/16,37
02/25/16,37
02/26/16,31
02/27/16,31
02/28/16,31
02/29/16,31
03/01/16,32
03/02/16,32
03/03/16,32
03/04/16,40
03/05/16,41
03/06/16,41
03/07/16,41
03/08/16,41
03/09/16,41
03/10/16,41
03/11/16,44
03/12/16,45
03/13/16,45
03/14/16,45
03/15/16,45
03/16/16,45
03/17/16,45
03/18/16,45
03/19/16,45
03/20/16,45
03/21/16,45
03/22/16,45
03/23/16,45
03/24/16,45
03/25/16,54
03/26/16,55
03/27/16,55
03/28/16,55
03/29/16,55
03/30/16,55
03/31/16,55
04/01/16,59
04/02/16,59
04/03/16,59
04/04/16,60
04/05/16,60
04/06/16,60
04/07/16,60
04/08/16,71
04/09/16,71
04/10/16,71
04/11/16,71
04/12/16,72
04/13/16,72
04/14/16,72
04/15/16,161
04/16/16,162
04/17/16,162
04/18/16,162
04/19/16,162
04/20/16,162
04/21/16,162
04/22/16,199
04/23/16,200
04/24/16,200
04/25/16,200
04/26/16,200
04/27/16,200
04/28/16,200
04/29/16,212
04/30/16,213
05/01/16,213
05/02/16,213
05/03/16,213
05/04/16,213
05/05/16,213
05/06/16,180
05/07/16,180
05/08/16,181
05/09/16,181
05/10/16,181
05/11/16,181
05/12/16,181
05/13/16,211
05/14/16,211
05/15/16,212
05/16/16,212
05/17/16,212
05/18/16,212
05/19/16,212
05/20/16,178
05/21/16,178
05/22/16,178
05/23/16,178
05/24/16,179
05/25/16,179
05/26/16,179
05/27/16,150
05/28/16,151
05/29/16,151
05/30/16,151
05/31/16,151
06/01/16,151
06/02/16,151
06/03/16,0
06/04/16,131
06/05/16,131
06/06/16,131
06/07/16,131
06/08/16,131
06/09/16,131
06/10/16,127
06/11/16,127
06/12/16,127
06/13/16,127
06/14/16,127
06/15/16,127
06/16/16,128
06/17/16,84
06/18/16,84
06/19/16,84
06/20/16,84
06/21/16,85
06/22/16,85
06/23/16,85
06/24/16,90
06/25/16,90
06/26/16,90
06/27/16,90
06/28/16,91
06/29/16,91
06/30/16,91
07/01/16,96
07/02/16,96
07/03/16,96
07/04/16,96
07/05/16,96
07/06/16,96
07/07/16,96
07/08/16,75
07/09/16,75
07/10/16,75
07/11/16,75
07/12/16,76
07/13/16,76
07/14/16,76
07/15/16,81
07/16/16,81
07/17/16,81
07/18/16,81
07/19/16,82
07/20/16,82
07/21/16,82
07/22/16,67
07/23/16,67
07/24/16,68
07/25/16,68
07/26/16,68
07/27/16,68
07/28/16,68
07/29/16,57
07/30/16,57
07/31/16,58
08/01/16,58
08/02/16,58
08/03/16,58
08/04/16,58
08/05/16,40
08/06/16,40
08/07/16,40
08/08/16,40
08/09/16,40
08/10/16,41
08/11/16,41
08/12/16,39
08/13/16,39
08/14/16,40
08/15/16,40
08/16/16,40
08/17/16,40
08/18/16,40
08/19/16,35
08/20/16,35
08/21/16,35
08/22/16,35
08/23/16,35
08/24/16,35
08/25/16,35
08/26/16,23
08/27/16,24
08/28/16,24
08/29/16,24
08/30/16,24
08/31/16,24
09/01/16,24
09/02/16,25
09/03/16,25
09/04/16,25
09/05/16,26
09/06/16,26
09/07/16,26
09/08/16,26
09/09/16,27
09/10/16,27
09/11/16,27
09/12/16,27
09/13/16,27
09/14/16,27
09/15/16,28
09/16/16,29
09/17/16,30
09/18/16,30
09/19/16,30
09/20/16,30
09/21/16,30
09/22/16,30
09/23/16,18
09/24/16,18
09/25/16,18
09/26/16,19
09/27/16,19
09/28/16,19
09/29/16,19
09/30/16,22
10/01/16,22
10/02/16,22
10/03/16,22
10/04/16,22
10/05/16,22
10/06/16,22
10/07/16,20
10/08/16,20
10/09/16,20
10/10/16,20
10/11/16,20
10/12/16,20
10/13/16,21
10/14/16,15
10/15/16,16
10/16/16,16
10/17/16,16
10/18/16,16
10/19/16,16
10/20/16,16
10/21/16,14
10/22/16,14
10/23/16,14
10/24/16,14
10/25/16,14
10/26/16,14
10/27/16,15
10/28/16,17
10/29/16,17
10/30/16,17
10/31/16,17
11/01/16,17
11/02/16,18
11/03/16,18
11/04/16,23
11/05/16,23
11/06/16,23
11/07/16,23
11/08/16,23
11/09/16,23
11/10/16,24
11/11/16,24
11/12/16,24
11/13/16,25
11/14/16,25
11/15/16,25
11/16/16,25
11/17/16,25
11/18/16,18
11/19/16,18
11/20/16,18
11/21/16,19
11/22/16,19
11/23/16,19
11/24/16,19
11/25/16,22
11/26/16,22
11/27/16,22
11/28/16,22
11/29/16,23
11/30/16,23
12/01/16,23
12/02/16,20
12/03/16,20
12/04/16,21
12/05/16,21
12/06/16,21
12/07/16,21
12/08/16,21
12/09/16,18
12/10/16,18
12/11/16,18
12/12/16,19
12/13/16,19
12/14/16,19
12/15/16,19
12/16/16,14
12/17/16,14
12/18/16,14
12/19/16,14
12/20/16,14
12/21/16,14
12/22/16,14
12/23/16,0
12/24/16,11
12/25/16,11
12/26/16,11
12/27/16,11
12/28/16,11
12/29/16,11
12/30/16,11
12/31/16,11
01/01/17,26
01/02/17,26
01/03/17,26
01/04/17,26
01/05/17,26
01/06/17,26
01/07/17,26
01/08/17,31
01/09/17,31
01/10/17,31
01/11/17,31
01/12/17,31
01/13/17,31
01/14/17,31
01/15/17,49
01/16/17,49
01/17/17,49
01/18/17,49
01/19/17,50
01/20/17,50
01/21/17,50
01/22/17,47
01/23/17,47
01/24/17,47
01/25/17,47
01/26/17,47
01/27/17,48
01/28/17,48
01/29/17,65
01/30/17,65
01/31/17,65
02/01/17,65
02/02/17,65
02/03/17,65
02/04/17,66
02/05/17,65
02/06/17,65
02/07/17,66
02/08/17,66
02/09/17,66
02/10/17,66
02/11/17,66
02/12/17,79
02/13/17,79
02/14/17,80
02/15/17,80
02/16/17,80
02/17/17,80
02/18/17,80
02/19/17,58
02/20/17,57
02/21/17,56
02/22/17,56
02/23/17,56
02/24/17,56
02/25/17,56
02/26/17,54
02/27/17,54
02/28/17,54
03/01/17,54
03/02/17,54
03/03/17,54
03/04/17,54
03/05/17,60
03/06/17,68
03/07/17,69
03/08/17,70
03/09/17,72
03/10/17,78
03/11/17,86
03/12/17,85
03/13/17,85
03/14/17,85
03/15/17,85
03/16/17,86
03/17/17,86
03/18/17,86
03/19/17,97
03/20/17,97
03/21/17,97
03/22/17,97
03/23/17,97
03/24/17,99
03/25/17,99
03/26/17,144
03/27/17,144
03/28/17,144
03/29/17,144
03/30/17,144
03/31/17,144
04/01/17,146
04/02/17,157
04/03/17,157
04/04/17,157
04/05/17,157
04/06/17,157
04/07/17,157
04/08/17,160
04/09/17,166
04/10/17,166
04/11/17,166
04/12/17,166
04/13/17,166
04/14/17,166
04/15/17,166
04/16/17,170
04/17/17,170
04/18/17,170
04/19/17,170
04/20/17,170
04/21/17,170
04/22/17,170
04/23/17,138
04/24/17,137
04/25/17,137
04/26/17,137
04/27/17,137
04/28/17,137
04/29/17,137
04/30/17,99
05/01/17,98
05/02/17,98
05/03/17,98
05/04/17,98
05/05/17,97
05/06/17,97
05/07/17,85
05/08/17,85
05/09/17,85
05/10/17,84
05/11/17,84
05/12/17,84
05/13/17,84
05/14/17,54
05/15/17,52
05/16/17,51
05/17/17,51
05/18/17,51
05/19/17,51
05/20/17,51
05/21/17,35
05/22/17,34
05/23/17,33
05/24/17,33
05/25/17,33
05/26/17,33
05/27/17,33
05/28/17,29
05/29/17,29
05/30/17,29
05/31/17,29
06/01/17,28
06/02/17,28
06/03/17,28
06/04/17,16
06/05/17,16
06/06/17,16
06/07/17,15
06/08/17,15
06/09/17,15
06/10/17,15
06/11/17,11
06/12/17,11
06/13/17,10
06/14/17,10
06/15/17,10
06/16/17,10
06/17/17,10
06/18/17,10
06/19/17,10
06/20/17,12
06/21/17,13
06/22/17,13
06/23/17,11
06/24/17,11
06/25/17,9
06/26/17,9
06/27/17,9
06/28/17,9
06/29/17,8
06/30/17,8
07/01/17,8
07/02/17,8
07/03/17,8
07/04/17,7
07/05/17,7
07/06/17,7
07/07/17,7
07/08/17,7
07/09/17,7
07/10/17,8
07/11/17,8
07/12/17,9
07/13/17,9
07/14/17,9
07/15/17,9
07/16/17,8
07/17/17,8
07/18/17,8
07/19/17,7
07/20/17,7
07/21/17,7
07/22/17,7
07/23/17,7
07/24/17,7
07/25/17,7
07/26/17,7
07/27/17,8
07/28/17,8
07/29/17,8
07/30/17,6
07/31/17,6
08/01/17,6
08/02/17,6
08/03/17,6
08/04/17,6
08/05/17,5
08/06/17,6
08/07/17,5
08/08/17,5
08/09/17,6
08/10/17,5
08/11/17,6
08/12/17,5
08/13/17,4
08/14/17,3
08/15/17,3
08/16/17,3
08/17/17,3
08/18/17,3
08/19/17,3
08/20/17,3
08/21/17,3
08/22/17,3
08/23/17,4
08/24/17,3
08/25/17,3
08/26/17,3
08/27/17,3
08/28/17,3
08/29/17,3
08/30/17,3
08/31/17,3
09/01/17,3
09/02/17,2
09/03/17,2
