ds, y 
01/01/2008,0.000
02/01/2008,0.000
03/01/2008,0.000
04/01/2008,0.000
05/01/2008,0.000
06/01/2008,0.000
07/01/2008,0.000
08/01/2008,0.000
09/01/2008,0.000
10/01/2008,0.000
11/01/2008,0.000
12/01/2008,0.000
13/01/2008,0.000
14/01/2008,0.000
15/01/2008,0.286
16/01/2008,0.286
17/01/2008,0.286
18/01/2008,0.286
19/01/2008,0.286
20/01/2008,0.286
21/01/2008,0.286
22/01/2008,0.571
23/01/2008,0.571
24/01/2008,0.571
25/01/2008,0.571
26/01/2008,0.571
27/01/2008,0.571
28/01/2008,0.571
29/01/2008,0.571
30/01/2008,0.571
31/01/2008,0.571
01/02/2008,0.571
02/02/2008,0.571
03/02/2008,0.571
04/02/2008,0.571
05/02/2008,1.429
06/02/2008,1.429
07/02/2008,1.429
08/02/2008,1.429
09/02/2008,1.429
10/02/2008,1.429
11/02/2008,1.429
12/02/2008,1.571
13/02/2008,1.571
14/02/2008,1.571
15/02/2008,1.571
16/02/2008,1.571
17/02/2008,1.571
18/02/2008,1.571
19/02/2008,1.429
20/02/2008,1.429
21/02/2008,1.429
22/02/2008,1.429
23/02/2008,1.429
24/02/2008,1.429
25/02/2008,1.429
26/02/2008,1.714
27/02/2008,1.714
28/02/2008,1.714
29/02/2008,1.714
01/03/2008,1.714
02/03/2008,1.714
03/03/2008,1.714
04/03/2008,1.000
05/03/2008,1.000
06/03/2008,1.000
07/03/2008,1.000
08/03/2008,1.000
09/03/2008,1.000
10/03/2008,1.000
11/03/2008,1.143
12/03/2008,1.143
13/03/2008,1.143
14/03/2008,1.143
15/03/2008,1.143
16/03/2008,1.143
17/03/2008,1.143
18/03/2008,2.000
19/03/2008,2.000
20/03/2008,2.000
21/03/2008,2.000
22/03/2008,2.000
23/03/2008,2.000
24/03/2008,2.000
25/03/2008,1.714
26/03/2008,1.714
27/03/2008,1.714
28/03/2008,1.714
29/03/2008,1.714
30/03/2008,1.714
31/03/2008,1.714
01/04/2008,1.429
02/04/2008,1.429
03/04/2008,1.429
04/04/2008,1.429
05/04/2008,1.429
06/04/2008,1.429
07/04/2008,1.429
08/04/2008,1.714
09/04/2008,1.714
10/04/2008,1.714
11/04/2008,1.714
12/04/2008,1.714
13/04/2008,1.714
14/04/2008,1.714
15/04/2008,2.286
16/04/2008,2.286
17/04/2008,2.286
18/04/2008,2.286
19/04/2008,2.286
20/04/2008,2.286
21/04/2008,2.286
22/04/2008,0.000
23/04/2008,0.000
24/04/2008,0.000
25/04/2008,0.000
26/04/2008,0.000
27/04/2008,0.000
28/04/2008,0.000
29/04/2008,1.429
30/04/2008,1.429
01/05/2008,1.429
02/05/2008,1.429
03/05/2008,1.429
04/05/2008,1.429
05/05/2008,1.429
06/05/2008,2.143
07/05/2008,2.143
08/05/2008,2.143
09/05/2008,2.143
10/05/2008,2.143
11/05/2008,2.143
12/05/2008,2.143
13/05/2008,1.571
14/05/2008,1.571
15/05/2008,1.571
16/05/2008,1.571
17/05/2008,1.571
18/05/2008,1.571
19/05/2008,1.571
20/05/2008,0.857
21/05/2008,0.857
22/05/2008,0.857
23/05/2008,0.857
24/05/2008,0.857
25/05/2008,0.857
26/05/2008,0.857
27/05/2008,0.571
28/05/2008,0.571
29/05/2008,0.571
30/05/2008,0.571
31/05/2008,0.571
01/06/2008,0.571
02/06/2008,0.571
03/06/2008,0.857
04/06/2008,0.857
05/06/2008,0.857
06/06/2008,0.857
07/06/2008,0.857
08/06/2008,0.857
09/06/2008,0.857
10/06/2008,0.857
11/06/2008,0.857
12/06/2008,0.857
13/06/2008,0.857
14/06/2008,0.857
15/06/2008,0.857
16/06/2008,0.857
17/06/2008,0.000
18/06/2008,0.000
19/06/2008,0.000
20/06/2008,0.000
21/06/2008,0.000
22/06/2008,0.000
23/06/2008,0.000
24/06/2008,0.286
25/06/2008,0.286
26/06/2008,0.286
27/06/2008,0.286
28/06/2008,0.286
29/06/2008,0.286
30/06/2008,0.286
01/07/2008,0.000
02/07/2008,0.000
03/07/2008,0.000
04/07/2008,0.000
05/07/2008,0.000
06/07/2008,0.000
07/07/2008,0.000
08/07/2008,0.000
09/07/2008,0.000
10/07/2008,0.000
11/07/2008,0.000
12/07/2008,0.000
13/07/2008,0.000
14/07/2008,0.000
15/07/2008,0.286
16/07/2008,0.286
17/07/2008,0.286
18/07/2008,0.286
19/07/2008,0.286
20/07/2008,0.286
21/07/2008,0.286
22/07/2008,1.143
23/07/2008,1.143
24/07/2008,1.143
25/07/2008,1.143
26/07/2008,1.143
27/07/2008,1.143
28/07/2008,1.143
29/07/2008,0.286
30/07/2008,0.286
31/07/2008,0.286
01/08/2008,0.286
02/08/2008,0.286
03/08/2008,0.286
04/08/2008,0.286
05/08/2008,0.000
06/08/2008,0.000
07/08/2008,0.000
08/08/2008,0.000
09/08/2008,0.000
10/08/2008,0.000
11/08/2008,0.000
12/08/2008,0.286
13/08/2008,0.286
14/08/2008,0.286
15/08/2008,0.286
16/08/2008,0.286
17/08/2008,0.286
18/08/2008,0.286
19/08/2008,0.286
20/08/2008,0.286
21/08/2008,0.286
22/08/2008,0.286
23/08/2008,0.286
24/08/2008,0.286
25/08/2008,0.286
26/08/2008,0.000
27/08/2008,0.000
28/08/2008,0.000
29/08/2008,0.000
30/08/2008,0.000
31/08/2008,0.000
01/09/2008,0.000
02/09/2008,0.000
03/09/2008,0.000
04/09/2008,0.000
05/09/2008,0.000
06/09/2008,0.000
07/09/2008,0.000
08/09/2008,0.000
09/09/2008,0.000
10/09/2008,0.000
11/09/2008,0.000
12/09/2008,0.000
13/09/2008,0.000
14/09/2008,0.000
15/09/2008,0.000
16/09/2008,0.000
17/09/2008,0.000
