ds,y
01/01/2007,4
08/01/2007,6
15/01/2007,6
22/01/2007,4
29/01/2007,8
05/02/2007,2
12/02/2007,8
19/02/2007,6
26/02/2007,2
05/03/2007,10
12/03/2007,12
19/03/2007,26
26/03/2007,31
02/04/2007,58
09/04/2007,117
16/04/2007,121
23/04/2007,104
30/04/2007,152
07/05/2007,225
14/05/2007,392
21/05/2007,500
28/05/2007,517
04/06/2007,563
11/06/2007,594
18/06/2007,440
25/06/2007,209
02/07/2007,101
09/07/2007,75
16/07/2007,40
23/07/2007,24
30/07/2007,34
06/08/2007,42
13/08/2007,29
20/08/2007,10
27/08/2007,4
03/09/2007,0
10/09/2007,6
17/09/2007,2
24/09/2007,0
01/10/2007,2
08/10/2007,2
15/10/2007,4
22/10/2007,1
29/10/2007,3
05/11/2007,0
12/11/2007,3
19/11/2007,0
26/11/2007,2
03/12/2007,4
10/12/2007,0
17/12/2007,2
24/12/2007,0
31/12/2007,0
07/01/2008,0
14/01/2008,0
21/01/2008,2
28/01/2008,4
04/02/2008,4
11/02/2008,10
18/02/2008,11
25/02/2008,10
03/03/2008,12
10/03/2008,7
17/03/2008,8
24/03/2008,14
31/03/2008,12
07/04/2008,10
14/04/2008,12
21/04/2008,16
28/04/2008,0
05/05/2008,10
12/05/2008,15
19/05/2008,11
26/05/2008,6
02/06/2008,4
09/06/2008,6
16/06/2008,6
23/06/2008,0
30/06/2008,2
07/07/2008,0
14/07/2008,0
21/07/2008,2
28/07/2008,8
04/08/2008,2
11/08/2008,0
18/08/2008,2
25/08/2008,2
01/09/2008,0
08/09/2008,0
15/09/2008,0
22/09/2008,0
29/09/2008,0
06/10/2008,0
13/10/2008,0
20/10/2008,2
27/10/2008,0
03/11/2008,0
10/11/2008,0
17/11/2008,0
24/11/2008,0
01/12/2008,0
08/12/2008,0
15/12/2008,0
22/12/2008,0
29/12/2008,0
05/01/2009,0
12/01/2009,0
19/01/2009,0
26/01/2009,1
02/02/2009,1
09/02/2009,2
16/02/2009,4
23/02/2009,5
02/03/2009,2
09/03/2009,1
16/03/2009,2
23/03/2009,2
30/03/2009,2
06/04/2009,1
13/04/2009,1
20/04/2009,3
27/04/2009,0
04/05/2009,0
11/05/2009,1
18/05/2009,1
25/05/2009,1
01/06/2009,0
08/06/2009,1
15/06/2009,1
22/06/2009,1
29/06/2009,1
06/07/2009,0
13/07/2009,0
20/07/2009,0
27/07/2009,1
03/08/2009,0
10/08/2009,0
17/08/2009,0
24/08/2009,0
31/08/2009,0
07/09/2009,0
14/09/2009,1
21/09/2009,1
28/09/2009,0
05/10/2009,0
12/10/2009,1
19/10/2009,0
26/10/2009,0
02/11/2009,0
09/11/2009,0
16/11/2009,0
23/11/2009,0
30/11/2009,0
07/12/2009,0
14/12/2009,0
21/12/2009,2
28/12/2009,0
04/01/2010,0
11/01/2010,2
18/01/2010,0
25/01/2010,0
01/02/2010,2
08/02/2010,0
15/02/2010,0
22/02/2010,0
01/03/2010,2
08/03/2010,0
15/03/2010,0
22/03/2010,4
29/03/2010,0
05/04/2010,0
12/04/2010,0
19/04/2010,0
26/04/2010,0
03/05/2010,2
10/05/2010,0
17/05/2010,0
24/05/2010,0
31/05/2010,0
07/06/2010,0
14/06/2010,0
21/06/2010,0
