ds,exo
2013-01-01,11.2
2013-01-02,1.0
2013-01-03,0.0
2013-01-04,0.0
2013-01-05,0.0
2013-01-06,34.4
2013-01-07,23.7
2013-01-08,34.0
2013-01-09,5.5
2013-01-10,0.0
2013-01-11,0.0
2013-01-12,0.0
2013-01-13,0.0
2013-01-14,0.0
2013-01-15,1.6
2013-01-16,1.7
2013-01-17,11.5
2013-01-18,0.0
2013-01-19,1.7
2013-01-20,0.0
2013-01-21,1.1
2013-01-22,0.0
2013-01-23,0.0
2013-01-24,0.0
2013-01-25,2.4
2013-01-26,0.4
2013-01-27,0.0
2013-01-28,0.0
2013-01-29,0.0
2013-01-30,0.0
2013-01-31,0.0
2013-02-01,0.0
2013-02-02,4.4
2013-02-03,13.9
2013-02-04,22.1
2013-02-05,0.0
2013-02-06,5.4
2013-02-07,0.0
2013-02-08,3.6
2013-02-09,2.3
2013-02-10,3.1
2013-02-11,5.3
2013-02-12,2.8
2013-02-13,14.5
2013-02-14,6.5
2013-02-15,12.0
2013-02-16,2.5
2013-02-17,0.0
2013-02-18,18.7
2013-02-19,9.5
2013-02-20,0.5
2013-02-21,10.1
2013-02-22,7.3
2013-02-23,0.0
2013-02-24,0.0
2013-02-25,0.4
2013-02-26,25.1
2013-02-27,0.0
2013-02-28,0.0
2013-03-01,0.0
2013-03-02,0.0
2013-03-03,0.0
2013-03-04,0.0
2013-03-05,45.4
2013-03-06,7.2
2013-03-07,0.0
2013-03-08,7.5
2013-03-09,31.6
2013-03-10,4.7
2013-03-11,1.6
2013-03-12,0.0
2013-03-13,37.6
2013-03-14,0.0
2013-03-15,9.1
2013-03-16,1.9
2013-03-17,0.0
2013-03-18,0.0
2013-03-19,0.0
2013-03-20,22.7
2013-03-21,32.1
2013-03-22,0.0
2013-03-23,0.0
2013-03-24,0.0
2013-03-25,2.0
2013-03-26,0.0
2013-03-27,2.0
2013-03-28,0.3
2013-03-29,0.0
2013-03-30,0.0
2013-03-31,0.0
2013-04-01,0.0
2013-04-02,10.7
2013-04-03,0.0
2013-04-04,0.6
2013-04-05,31.4
2013-04-06,0.2
2013-04-07,0.0
2013-04-08,0.0
2013-04-09,7.9
2013-04-10,0.0
2013-04-11,0.0
2013-04-12,7.4
2013-04-13,24.1
2013-04-14,0.0
2013-04-15,0.0
2013-04-16,0.0
2013-04-17,0.0
2013-04-18,0.0
2013-04-19,0.0
2013-04-20,0.0
2013-04-21,0.0
2013-04-22,0.0
2013-04-23,0.0
2013-04-24,0.0
2013-04-25,0.0
2013-04-26,0.0
2013-04-27,0.0
2013-04-28,0.0
2013-04-29,0.0
2013-04-30,3.1
2013-05-01,0.0
2013-05-02,0.0
2013-05-03,0.0
2013-05-04,0.0
2013-05-05,0.0
2013-05-06,0.0
2013-05-07,0.0
2013-05-08,0.0
2013-05-09,0.0
2013-05-10,0.0
2013-05-11,0.0
2013-05-12,0.0
2013-05-13,5.0
2013-05-14,2.4
2013-05-15,2.8
2013-05-16,15.1
2013-05-17,0.0
2013-05-18,0.0
2013-05-19,0.0
2013-05-20,44.3
2013-05-21,0.3
2013-05-22,1.8
2013-05-23,0.0
2013-05-24,0.0
2013-05-25,0.0
2013-05-26,0.0
2013-05-27,0.0
2013-05-28,2.5
2013-05-29,17.6
2013-05-30,10.9
2013-05-31,0.0
2013-06-01,2.9
2013-06-02,37.0
2013-06-03,0.3
2013-06-04,0.0
2013-06-05,0.0
2013-06-06,0.0
2013-06-07,0.0
2013-06-08,0.0
2013-06-09,0.0
2013-06-10,0.6
2013-06-11,0.4
2013-06-12,0.0
2013-06-13,0.2
2013-06-14,0.2
2013-06-15,0.0
2013-06-16,1.9
2013-06-17,4.8
2013-06-18,0.4
2013-06-19,30.5
2013-06-20,1.4
2013-06-21,13.7
2013-06-22,20.4
2013-06-23,0.5
2013-06-24,10.7
2013-06-25,35.3
2013-06-26,8.3
2013-06-27,1.2
2013-06-28,0.7
2013-06-29,17.6
2013-06-30,0.0
2013-07-01,0.2
2013-07-02,0.0
2013-07-03,0.0
2013-07-04,0.0
2013-07-05,0.0
2013-07-06,0.0
2013-07-07,0.0
2013-07-08,10.8
2013-07-09,0.0
2013-07-10,0.0
2013-07-11,0.2
2013-07-12,0.2
2013-07-13,0.0
2013-07-14,1.4
2013-07-15,16.0
2013-07-16,0.0
2013-07-17,0.0
2013-07-18,0.0
2013-07-19,10.8
2013-07-20,9.6
2013-07-21,40.4
2013-07-22,1.5
2013-07-23,0.5
2013-07-24,0.0
2013-07-25,0.0
2013-07-26,0.0
2013-07-27,0.0
2013-07-28,0.0
2013-07-29,0.0
2013-07-30,0.0
2013-07-31,0.0
2013-08-01,0.0
2013-08-02,0.0
2013-08-03,4.4
2013-08-04,51.4
2013-08-05,0.0
2013-08-06,48.6
2013-08-07,0.3
2013-08-08,0.0
2013-08-09,0.4
2013-08-10,78.6
2013-08-11,18.0
2013-08-12,0.0
2013-08-13,1.5
2013-08-14,13.4
2013-08-15,1.0
2013-08-16,0.0
2013-08-17,0.0
2013-08-18,0.0
2013-08-19,0.0
2013-08-20,0.0
2013-08-21,0.0
2013-08-22,0.0
2013-08-23,11.0
2013-08-24,48.6
2013-08-25,12.4
2013-08-26,40.4
2013-08-27,15.4
2013-08-28,2.1
2013-08-29,0.0
2013-08-30,0.0
2013-08-31,0.0
2013-09-01,6.4
2013-09-02,17.3
2013-09-03,1.6
2013-09-04,0.0
2013-09-05,0.0
2013-09-06,0.0
2013-09-07,0.0
2013-09-08,0.0
2013-09-09,1.8
2013-09-10,0.0
2013-09-11,0.0
2013-09-12,0.0
2013-09-13,0.0
2013-09-14,0.0
2013-09-15,0.0
2013-09-16,17.8
2013-09-17,14.6
2013-09-18,0.7
2013-09-19,0.0
2013-09-20,11.2
2013-09-21,96.7
