semana,ano,cidade,infectados
1,2007,Fortaleza,115
2,2007,Fortaleza,78
3,2007,Fortaleza,113
4,2007,Fortaleza,150
5,2007,Fortaleza,134
6,2007,Fortaleza,157
7,2007,Fortaleza,156
8,2007,Fortaleza,263
9,2007,Fortaleza,370
10,2007,Fortaleza,448
11,2007,Fortaleza,504
12,2007,Fortaleza,565
13,2007,Fortaleza,559
14,2007,Fortaleza,595
15,2007,Fortaleza,837
16,2007,Fortaleza,929
17,2007,Fortaleza,989
18,2007,Fortaleza,979
19,2007,Fortaleza,1008
20,2007,Fortaleza,1044
21,2007,Fortaleza,864
22,2007,Fortaleza,1013
23,2007,Fortaleza,931
24,2007,Fortaleza,988
25,2007,Fortaleza,782
26,2007,Fortaleza,670
27,2007,Fortaleza,742
28,2007,Fortaleza,789
29,2007,Fortaleza,816
30,2007,Fortaleza,655
31,2007,Fortaleza,543
32,2007,Fortaleza,422
33,2007,Fortaleza,359
34,2007,Fortaleza,409
35,2007,Fortaleza,266
36,2007,Fortaleza,242
37,2007,Fortaleza,300
38,2007,Fortaleza,230
39,2007,Fortaleza,151
40,2007,Fortaleza,161
41,2007,Fortaleza,199
42,2007,Fortaleza,199
43,2007,Fortaleza,226
44,2007,Fortaleza,188
45,2007,Fortaleza,238
46,2007,Fortaleza,207
47,2007,Fortaleza,240
48,2007,Fortaleza,230
49,2007,Fortaleza,272
50,2007,Fortaleza,231
51,2007,Fortaleza,201
52,2007,Fortaleza,178
1,2008,Fortaleza,362
2,2008,Fortaleza,309
3,2008,Fortaleza,354
4,2008,Fortaleza,436
5,2008,Fortaleza,639
6,2008,Fortaleza,720
7,2008,Fortaleza,769
8,2008,Fortaleza,945
9,2008,Fortaleza,867
10,2008,Fortaleza,987
11,2008,Fortaleza,1185
12,2008,Fortaleza,1424
13,2008,Fortaleza,2639
14,2008,Fortaleza,4082
15,2008,Fortaleza,4912
16,2008,Fortaleza,6422
17,2008,Fortaleza,6092
18,2008,Fortaleza,5862
19,2008,Fortaleza,5882
20,2008,Fortaleza,5264
21,2008,Fortaleza,4798
22,2008,Fortaleza,3730
23,2008,Fortaleza,2746
24,2008,Fortaleza,2185
25,2008,Fortaleza,1782
26,2008,Fortaleza,893
27,2008,Fortaleza,588
28,2008,Fortaleza,417
29,2008,Fortaleza,318
30,2008,Fortaleza,252
31,2008,Fortaleza,260
32,2008,Fortaleza,188
33,2008,Fortaleza,155
34,2008,Fortaleza,174
35,2008,Fortaleza,129
36,2008,Fortaleza,110
37,2008,Fortaleza,122
38,2008,Fortaleza,110
39,2008,Fortaleza,87
40,2008,Fortaleza,108
41,2008,Fortaleza,121
42,2008,Fortaleza,147
43,2008,Fortaleza,126
44,2008,Fortaleza,74
45,2008,Fortaleza,115
46,2008,Fortaleza,124
47,2008,Fortaleza,162
48,2008,Fortaleza,92
49,2008,Fortaleza,83
50,2008,Fortaleza,120
51,2008,Fortaleza,113
52,2008,Fortaleza,78
1,2009,Fortaleza,68
2,2009,Fortaleza,117
3,2009,Fortaleza,192
4,2009,Fortaleza,220
5,2009,Fortaleza,277
6,2009,Fortaleza,365
7,2009,Fortaleza,450
8,2009,Fortaleza,276
9,2009,Fortaleza,429
10,2009,Fortaleza,755
11,2009,Fortaleza,953
12,2009,Fortaleza,824
13,2009,Fortaleza,501
14,2009,Fortaleza,475
15,2009,Fortaleza,214
16,2009,Fortaleza,238
17,2009,Fortaleza,174
18,2009,Fortaleza,186
19,2009,Fortaleza,163
20,2009,Fortaleza,168
21,2009,Fortaleza,124
22,2009,Fortaleza,104
23,2009,Fortaleza,77
24,2009,Fortaleza,94
25,2009,Fortaleza,70
26,2009,Fortaleza,59
27,2009,Fortaleza,71
28,2009,Fortaleza,42
29,2009,Fortaleza,38
30,2009,Fortaleza,50
31,2009,Fortaleza,48
32,2009,Fortaleza,48
33,2009,Fortaleza,36
34,2009,Fortaleza,26
35,2009,Fortaleza,2
36,2009,Fortaleza,34
37,2009,Fortaleza,27
38,2009,Fortaleza,40
39,2009,Fortaleza,36
40,2009,Fortaleza,10
41,2009,Fortaleza,8
42,2009,Fortaleza,16
43,2009,Fortaleza,28
44,2009,Fortaleza,26
45,2009,Fortaleza,34
46,2009,Fortaleza,42
47,2009,Fortaleza,48
48,2009,Fortaleza,68
49,2009,Fortaleza,66
50,2009,Fortaleza,91
51,2009,Fortaleza,62
52,2009,Fortaleza,46
1,2010,Fortaleza,68
2,2010,Fortaleza,62
3,2010,Fortaleza,81
4,2010,Fortaleza,44
5,2010,Fortaleza,65
6,2010,Fortaleza,46
7,2010,Fortaleza,92
8,2010,Fortaleza,64
9,2010,Fortaleza,111
10,2010,Fortaleza,97
11,2010,Fortaleza,84
12,2010,Fortaleza,126
13,2010,Fortaleza,113
14,2010,Fortaleza,114
15,2010,Fortaleza,109
16,2010,Fortaleza,118
17,2010,Fortaleza,133
18,2010,Fortaleza,65
19,2010,Fortaleza,90
20,2010,Fortaleza,120
21,2010,Fortaleza,132
22,2010,Fortaleza,159
23,2010,Fortaleza,161
24,2010,Fortaleza,174
25,2010,Fortaleza,168
26,2010,Fortaleza,213
27,2010,Fortaleza,236
28,2010,Fortaleza,305
29,2010,Fortaleza,325
30,2010,Fortaleza,250
31,2010,Fortaleza,291
32,2010,Fortaleza,351
33,2010,Fortaleza,277
34,2010,Fortaleza,205
35,2010,Fortaleza,286
36,2010,Fortaleza,324
37,2010,Fortaleza,199
38,2010,Fortaleza,151
39,2010,Fortaleza,133
40,2010,Fortaleza,190
41,2010,Fortaleza,204
42,2010,Fortaleza,184
43,2010,Fortaleza,158
44,2010,Fortaleza,221
45,2010,Fortaleza,260
46,2010,Fortaleza,331
47,2010,Fortaleza,399
48,2010,Fortaleza,593
49,2010,Fortaleza,667
50,2010,Fortaleza,629
51,2010,Fortaleza,560
52,2010,Fortaleza,346
1,2011,Fortaleza,691
2,2011,Fortaleza,751
3,2011,Fortaleza,668
4,2011,Fortaleza,599
5,2011,Fortaleza,773
6,2011,Fortaleza,881
7,2011,Fortaleza,1159
8,2011,Fortaleza,1103
9,2011,Fortaleza,1100
10,2011,Fortaleza,1326
11,2011,Fortaleza,1879
12,2011,Fortaleza,1989
13,2011,Fortaleza,2448
14,2011,Fortaleza,3000
15,2011,Fortaleza,2541
16,2011,Fortaleza,2186
17,2011,Fortaleza,2015
18,2011,Fortaleza,1582
19,2011,Fortaleza,1609
20,2011,Fortaleza,1316
21,2011,Fortaleza,1021
22,2011,Fortaleza,783
23,2011,Fortaleza,609
24,2011,Fortaleza,468
25,2011,Fortaleza,378
26,2011,Fortaleza,292
27,2011,Fortaleza,251
28,2011,Fortaleza,181
29,2011,Fortaleza,186
30,2011,Fortaleza,196
31,2011,Fortaleza,178
32,2011,Fortaleza,116
33,2011,Fortaleza,128
34,2011,Fortaleza,134
35,2011,Fortaleza,94
36,2011,Fortaleza,104
37,2011,Fortaleza,109
38,2011,Fortaleza,111
39,2011,Fortaleza,93
40,2011,Fortaleza,103
41,2011,Fortaleza,101
42,2011,Fortaleza,84
43,2011,Fortaleza,73
44,2011,Fortaleza,104
45,2011,Fortaleza,79
46,2011,Fortaleza,84
47,2011,Fortaleza,98
48,2011,Fortaleza,128
49,2011,Fortaleza,127
50,2011,Fortaleza,82
51,2011,Fortaleza,106
52,2011,Fortaleza,272
1,2012,Fortaleza,103
2,2012,Fortaleza,127
3,2012,Fortaleza,175
4,2012,Fortaleza,185
5,2012,Fortaleza,236
6,2012,Fortaleza,229
7,2012,Fortaleza,219
8,2012,Fortaleza,312
9,2012,Fortaleza,437
10,2012,Fortaleza,519
11,2012,Fortaleza,740
12,2012,Fortaleza,884
13,2012,Fortaleza,870
14,2012,Fortaleza,985
15,2012,Fortaleza,1429
16,2012,Fortaleza,2111
17,2012,Fortaleza,2687
18,2012,Fortaleza,4188
19,2012,Fortaleza,5187
20,2012,Fortaleza,4907
21,2012,Fortaleza,3234
22,2012,Fortaleza,1963
23,2012,Fortaleza,1401
24,2012,Fortaleza,955
25,2012,Fortaleza,611
26,2012,Fortaleza,436
27,2012,Fortaleza,299
28,2012,Fortaleza,229
29,2012,Fortaleza,174
30,2012,Fortaleza,177
31,2012,Fortaleza,141
32,2012,Fortaleza,95
33,2012,Fortaleza,96
34,2012,Fortaleza,86
35,2012,Fortaleza,52
36,2012,Fortaleza,52
37,2012,Fortaleza,40
38,2012,Fortaleza,39
39,2012,Fortaleza,35
40,2012,Fortaleza,33
41,2012,Fortaleza,35
42,2012,Fortaleza,38
43,2012,Fortaleza,25
44,2012,Fortaleza,16
45,2012,Fortaleza,26
46,2012,Fortaleza,22
47,2012,Fortaleza,30
48,2012,Fortaleza,21
49,2012,Fortaleza,44
50,2012,Fortaleza,18
51,2012,Fortaleza,32
52,2012,Fortaleza,43
1,2013,Fortaleza,49
2,2013,Fortaleza,46
3,2013,Fortaleza,52
4,2013,Fortaleza,86
5,2013,Fortaleza,58
6,2013,Fortaleza,56
7,2013,Fortaleza,74
8,2013,Fortaleza,116
9,2013,Fortaleza,107
10,2013,Fortaleza,121
11,2013,Fortaleza,107
12,2013,Fortaleza,116
13,2013,Fortaleza,158
14,2013,Fortaleza,254
15,2013,Fortaleza,304
16,2013,Fortaleza,303
17,2013,Fortaleza,334
18,2013,Fortaleza,298
19,2013,Fortaleza,279
20,2013,Fortaleza,362
21,2013,Fortaleza,339
22,2013,Fortaleza,362
23,2013,Fortaleza,376
24,2013,Fortaleza,375
25,2013,Fortaleza,411
26,2013,Fortaleza,356
27,2013,Fortaleza,396
28,2013,Fortaleza,375
29,2013,Fortaleza,317
30,2013,Fortaleza,346
31,2013,Fortaleza,423
32,2013,Fortaleza,331
33,2013,Fortaleza,311
34,2013,Fortaleza,235
35,2013,Fortaleza,153
36,2013,Fortaleza,133
37,2013,Fortaleza,126
38,2013,Fortaleza,90
39,2013,Fortaleza,81
40,2013,Fortaleza,69
41,2013,Fortaleza,76
42,2013,Fortaleza,42
43,2013,Fortaleza,54
44,2013,Fortaleza,37
45,2013,Fortaleza,35
46,2013,Fortaleza,28
47,2013,Fortaleza,54
48,2013,Fortaleza,30
49,2013,Fortaleza,33
50,2013,Fortaleza,54
51,2013,Fortaleza,28
52,2013,Fortaleza,25
1,2014,Fortaleza,23
2,2014,Fortaleza,33
3,2014,Fortaleza,37
4,2014,Fortaleza,54
5,2014,Fortaleza,55
6,2014,Fortaleza,51
7,2014,Fortaleza,68
8,2014,Fortaleza,60
