semana,ano,cidade,infectados
1,2007,Sobral,4
2,2007,Sobral,6
3,2007,Sobral,6
4,2007,Sobral,4
5,2007,Sobral,8
6,2007,Sobral,2
7,2007,Sobral,8
8,2007,Sobral,6
9,2007,Sobral,2
10,2007,Sobral,10
11,2007,Sobral,12
12,2007,Sobral,26
13,2007,Sobral,31
14,2007,Sobral,58
15,2007,Sobral,117
16,2007,Sobral,121
17,2007,Sobral,104
18,2007,Sobral,152
19,2007,Sobral,225
20,2007,Sobral,392
21,2007,Sobral,500
22,2007,Sobral,517
23,2007,Sobral,563
24,2007,Sobral,594
25,2007,Sobral,440
26,2007,Sobral,209
27,2007,Sobral,101
28,2007,Sobral,75
29,2007,Sobral,40
30,2007,Sobral,24
31,2007,Sobral,34
32,2007,Sobral,42
33,2007,Sobral,29
34,2007,Sobral,10
35,2007,Sobral,4
36,2007,Sobral,0
37,2007,Sobral,6
38,2007,Sobral,2
39,2007,Sobral,0
40,2007,Sobral,2
41,2007,Sobral,2
42,2007,Sobral,4
43,2007,Sobral,1
44,2007,Sobral,3
45,2007,Sobral,0
46,2007,Sobral,3
47,2007,Sobral,0
48,2007,Sobral,2
49,2007,Sobral,4
50,2007,Sobral,0
51,2007,Sobral,2
52,2007,Sobral,0
1,2008,Sobral,0
2,2008,Sobral,0
3,2008,Sobral,2
4,2008,Sobral,4
5,2008,Sobral,4
6,2008,Sobral,10
7,2008,Sobral,11
8,2008,Sobral,10
9,2008,Sobral,12
10,2008,Sobral,7
11,2008,Sobral,8
12,2008,Sobral,14
13,2008,Sobral,12
14,2008,Sobral,10
15,2008,Sobral,12
16,2008,Sobral,16
17,2008,Sobral,0
18,2008,Sobral,10
19,2008,Sobral,15
20,2008,Sobral,11
21,2008,Sobral,6
22,2008,Sobral,4
23,2008,Sobral,6
24,2008,Sobral,6
25,2008,Sobral,0
26,2008,Sobral,2
27,2008,Sobral,0
28,2008,Sobral,0
29,2008,Sobral,2
30,2008,Sobral,8
31,2008,Sobral,2
32,2008,Sobral,0
33,2008,Sobral,2
34,2008,Sobral,2
35,2008,Sobral,0
36,2008,Sobral,0
37,2008,Sobral,0
38,2008,Sobral,0
39,2008,Sobral,0
40,2008,Sobral,0
41,2008,Sobral,0
42,2008,Sobral,2
43,2008,Sobral,0
44,2008,Sobral,0
45,2008,Sobral,0
46,2008,Sobral,0
47,2008,Sobral,0
48,2008,Sobral,0
49,2008,Sobral,0
50,2008,Sobral,0
51,2008,Sobral,0
52,2008,Sobral,0
1,2009,Sobral,0
2,2009,Sobral,1
3,2009,Sobral,1
4,2009,Sobral,2
5,2009,Sobral,4
6,2009,Sobral,5
7,2009,Sobral,2
8,2009,Sobral,1
9,2009,Sobral,2
10,2009,Sobral,2
11,2009,Sobral,2
12,2009,Sobral,1
13,2009,Sobral,1
14,2009,Sobral,3
15,2009,Sobral,0
16,2009,Sobral,0
17,2009,Sobral,1
18,2009,Sobral,1
19,2009,Sobral,1
20,2009,Sobral,0
21,2009,Sobral,1
22,2009,Sobral,1
23,2009,Sobral,1
24,2009,Sobral,1
25,2009,Sobral,0
26,2009,Sobral,0
27,2009,Sobral,0
28,2009,Sobral,1
29,2009,Sobral,0
30,2009,Sobral,0
31,2009,Sobral,0
32,2009,Sobral,0
33,2009,Sobral,0
34,2009,Sobral,0
35,2009,Sobral,1
36,2009,Sobral,1
37,2009,Sobral,0
38,2009,Sobral,0
39,2009,Sobral,1
40,2009,Sobral,0
41,2009,Sobral,0
42,2009,Sobral,0
43,2009,Sobral,0
44,2009,Sobral,0
45,2009,Sobral,0
46,2009,Sobral,0
47,2009,Sobral,0
48,2009,Sobral,0
49,2009,Sobral,2
50,2009,Sobral,0
51,2009,Sobral,0
52,2009,Sobral,0
1,2010,Sobral,0
2,2010,Sobral,2
3,2010,Sobral,0
4,2010,Sobral,0
5,2010,Sobral,2
6,2010,Sobral,0
7,2010,Sobral,0
8,2010,Sobral,0
9,2010,Sobral,2
10,2010,Sobral,0
11,2010,Sobral,0
12,2010,Sobral,4
13,2010,Sobral,0
14,2010,Sobral,0
15,2010,Sobral,0
16,2010,Sobral,0
17,2010,Sobral,0
18,2010,Sobral,2
19,2010,Sobral,0
20,2010,Sobral,0
21,2010,Sobral,0
22,2010,Sobral,0
23,2010,Sobral,0
24,2010,Sobral,0
25,2010,Sobral,0
26,2010,Sobral,0
27,2010,Sobral,2
28,2010,Sobral,1
29,2010,Sobral,0
30,2010,Sobral,6
31,2010,Sobral,0
32,2010,Sobral,0
33,2010,Sobral,0
34,2010,Sobral,3
35,2010,Sobral,8
36,2010,Sobral,8
37,2010,Sobral,2
38,2010,Sobral,12
39,2010,Sobral,6
40,2010,Sobral,5
41,2010,Sobral,6
42,2010,Sobral,16
43,2010,Sobral,7
44,2010,Sobral,2
45,2010,Sobral,2
46,2010,Sobral,6
47,2010,Sobral,7
48,2010,Sobral,8
49,2010,Sobral,2
50,2010,Sobral,4
51,2010,Sobral,6
52,2010,Sobral,4
1,2011,Sobral,7
2,2011,Sobral,6
3,2011,Sobral,8
4,2011,Sobral,9
5,2011,Sobral,15
6,2011,Sobral,9
7,2011,Sobral,7
8,2011,Sobral,7
9,2011,Sobral,13
10,2011,Sobral,6
11,2011,Sobral,6
12,2011,Sobral,1
13,2011,Sobral,1
14,2011,Sobral,0
15,2011,Sobral,0
16,2011,Sobral,1
17,2011,Sobral,0
18,2011,Sobral,0
19,2011,Sobral,0
20,2011,Sobral,0
21,2011,Sobral,0
22,2011,Sobral,0
23,2011,Sobral,0
24,2011,Sobral,0
25,2011,Sobral,0
26,2011,Sobral,0
27,2011,Sobral,0
28,2011,Sobral,0
29,2011,Sobral,0
30,2011,Sobral,0
31,2011,Sobral,0
32,2011,Sobral,0
33,2011,Sobral,0
34,2011,Sobral,0
35,2011,Sobral,0
36,2011,Sobral,0
37,2011,Sobral,0
38,2011,Sobral,0
39,2011,Sobral,0
40,2011,Sobral,0
41,2011,Sobral,0
42,2011,Sobral,0
43,2011,Sobral,0
44,2011,Sobral,0
45,2011,Sobral,0
46,2011,Sobral,0
47,2011,Sobral,0
48,2011,Sobral,0
49,2011,Sobral,0
50,2011,Sobral,0
51,2011,Sobral,1
52,2011,Sobral,1
1,2012,Sobral,1
2,2012,Sobral,0
3,2012,Sobral,1
4,2012,Sobral,0
5,2012,Sobral,0
6,2012,Sobral,1
7,2012,Sobral,0
8,2012,Sobral,2
9,2012,Sobral,2
10,2012,Sobral,0
11,2012,Sobral,0
12,2012,Sobral,1
13,2012,Sobral,0
14,2012,Sobral,0
15,2012,Sobral,2
16,2012,Sobral,2
17,2012,Sobral,0
18,2012,Sobral,2
19,2012,Sobral,1
20,2012,Sobral,1
21,2012,Sobral,2
22,2012,Sobral,0
23,2012,Sobral,0
24,2012,Sobral,0
25,2012,Sobral,0
26,2012,Sobral,0
27,2012,Sobral,0
28,2012,Sobral,2
29,2012,Sobral,1
30,2012,Sobral,0
31,2012,Sobral,1
32,2012,Sobral,0
33,2012,Sobral,1
34,2012,Sobral,0
35,2012,Sobral,0
36,2012,Sobral,0
37,2012,Sobral,0
38,2012,Sobral,0
39,2012,Sobral,0
40,2012,Sobral,0
41,2012,Sobral,0
42,2012,Sobral,1
43,2012,Sobral,0
44,2012,Sobral,0
45,2012,Sobral,0
46,2012,Sobral,0
47,2012,Sobral,0
48,2012,Sobral,0
49,2012,Sobral,0
50,2012,Sobral,0
51,2012,Sobral,0
52,2012,Sobral,0
1,2013,Sobral,0
2,2013,Sobral,0
3,2013,Sobral,0
4,2013,Sobral,0
5,2013,Sobral,0
6,2013,Sobral,0
7,2013,Sobral,0
8,2013,Sobral,0
9,2013,Sobral,0
10,2013,Sobral,0
11,2013,Sobral,0
12,2013,Sobral,0
13,2013,Sobral,1
14,2013,Sobral,2
15,2013,Sobral,0
16,2013,Sobral,1
17,2013,Sobral,0
18,2013,Sobral,0
19,2013,Sobral,0
20,2013,Sobral,0
21,2013,Sobral,0
22,2013,Sobral,0
23,2013,Sobral,0
24,2013,Sobral,0
25,2013,Sobral,0
26,2013,Sobral,1
27,2013,Sobral,0
28,2013,Sobral,0
29,2013,Sobral,1
30,2013,Sobral,2
31,2013,Sobral,3
32,2013,Sobral,1
33,2013,Sobral,2
34,2013,Sobral,0
35,2013,Sobral,1
36,2013,Sobral,0
37,2013,Sobral,0
38,2013,Sobral,1
39,2013,Sobral,0
